사용월,호선명,역ID,지하철역,유임승차,유임하차,무임승차,무임하차,작업일시
2016-04,1호선,0150,서울역,"1,698,080","1,498,158","237,844","220,036",2016-05-08 11:56:39
2016-04,1호선,0151,시청,"655,481","659,648","95,309","94,408",2016-05-08 11:56:39
2016-04,1호선,0152,종각,"1,224,499","1,157,798","150,621","141,610",2016-05-08 11:56:39
2016-04,1호선,0153,종로3가,"742,395","686,619","367,963","339,633",2016-05-08 11:56:39
2016-04,1호선,0154,종로5가,"575,057","595,611","277,635","267,270",2016-05-08 11:56:39
2016-04,1호선,0155,동대문,"352,920","425,641","139,644","149,995",2016-05-08 11:56:39
2016-04,1호선,0156,신설동,"392,636","384,897","123,518","118,950",2016-05-08 11:56:39
2016-04,1호선,0157,제기동,"295,172","292,000","302,652","316,927",2016-05-08 11:56:39
2016-04,1호선,0158,청량리(지하),"574,646","596,193","354,877","360,425",2016-05-08 11:56:39
2016-04,1호선,0159,동묘앞,"178,833","198,466","146,213","147,303",2016-05-08 11:56:39
2016-04,2호선,0201,시청,"701,489","680,491","59,736","55,149",2016-05-08 11:56:39
2016-04,2호선,0202,을지로입구,"1,424,675","1,433,359","116,050","108,750",2016-05-08 11:56:39
2016-04,2호선,0203,을지로3가,"514,368","506,215","89,287","87,285",2016-05-08 11:56:39
2016-04,2호선,0204,을지로4가,"300,312","302,913","95,287","92,134",2016-05-08 11:56:39
2016-04,2호선,0205,동대문역사문화공원,"519,814","600,154","61,427","66,635",2016-05-08 11:56:39
2016-04,2호선,0206,신당,"368,556","388,788","107,694","109,633",2016-05-08 11:56:39
2016-04,2호선,0207,상왕십리,"275,689","257,303","60,438","61,362",2016-05-08 11:56:39
2016-04,2호선,0208,왕십리(성동구청),"589,540","489,429","60,599","52,412",2016-05-08 11:56:39
2016-04,2호선,0209,한양대,"400,883","474,831","16,106","17,423",2016-05-08 11:56:39
2016-04,2호선,0210,뚝섬,"447,886","474,275","68,214","68,537",2016-05-08 11:56:39
2016-04,2호선,0211,성수,"670,721","740,934","98,620","101,268",2016-05-08 11:56:39
2016-04,2호선,0212,건대입구,"1,339,374","1,454,415","98,075","102,800",2016-05-08 11:56:39
2016-04,2호선,0213,구의,"641,331","621,513","110,515","111,912",2016-05-08 11:56:39
2016-04,2호선,0214,강변,"1,385,772","1,368,014","154,286","152,900",2016-05-08 11:56:39
2016-04,2호선,0215,잠실나루,"473,065","452,870","89,630","90,603",2016-05-08 11:56:39
