사용월,호선명,역ID,지하철역,유임승차,유임하차,무임승차,무임하차,작업일시
2019-04,1호선,0150,서울역,"1,533,232","1,444,561","243,130","237,747",2019-05-03 11:41:12
2019-04,1호선,0151,시청,"704,297","708,603","109,070","107,903",2019-05-03 11:41:12
2019-04,1호선,0152,종각,"1,181,214","1,127,490","164,945","154,651",2019-05-03 11:41:12
2019-04,1호선,0153,종로3가,"654,119","612,630","391,269","365,852",2019-05-03 11:41:12
2019-04,1호선,0154,종로5가,"552,436","567,233","294,524","283,052",2019-05-03 11:41:12
2019-04,1호선,0155,동대문,"326,752","367,623","144,574","150,352",2019-05-03 11:41:12
2019-04,1호선,0156,신설동,"378,495","371,272","128,671","123,531",2019-05-03 11:41:12
2019-04,1호선,0157,제기동,"294,894","286,975","347,589","367,465",2019-05-03 11:41:12
2019-04,1호선,0158,청량리(서울시립대입구),"468,799","488,219","328,253","332,573",2019-05-03 11:41:12
2019-04,1호선,0159,동묘앞,"188,006","206,396","160,272","162,914",2019-05-03 11:41:12
2019-04,2호선,0201,시청,"748,807","725,588","66,514","61,483",2019-05-03 11:41:12
2019-04,2호선,0202,을지로입구,"1,444,179","1,444,495","120,069","110,662",2019-05-03 11:41:12
2019-04,2호선,0203,을지로3가,"615,648","610,124","94,818","93,546",2019-05-03 11:41:12
2019-04,2호선,0204,을지로4가,"278,064","281,627","94,306","90,353",2019-05-03 11:41:12
2019-04,2호선,0205,동대문역사문화공원,"516,888","604,121","63,121","67,261",2019-05-03 11:41:12
2019-04,2호선,0206,신당,"366,017","382,270","108,083","109,802",2019-05-03 11:41:12
2019-04,2호선,0207,상왕십리,"382,584","359,923","72,471","72,933",2019-05-03 11:41:12
2019-04,2호선,0208,왕십리(성동구청),"565,462","447,830","62,306","52,696",2019-05-03 11:41:12
2019-04,2호선,0209,한양대,"403,301","463,969","16,372","17,853",2019-05-03 11:41:12
2019-04,2호선,0210,뚝섬,"520,063","552,355","68,560","68,784",2019-05-03 11:41:12
2019-04,2호선,0211,성수,"799,112","871,063","114,337","116,160",2019-05-03 11:41:12
2019-04,2호선,0212,건대입구,"1,278,416","1,382,712","102,034","106,568",2019-05-03 11:41:12
2019-04,2호선,0213,구의(광진구청),"650,245","621,469","115,079","116,662",2019-05-03 11:41:12
2019-04,2호선,0214,강변(동서울터미널),"1,229,785","1,204,504","155,989","151,691",2019-05-03 11:41:12
2019-04,2호선,0215,잠실나루,"429,830","418,474","98,406","99,101",2019-05-03 11:41:12
2019-04,2호선,0216,잠실(송파구청),"2,593,683","2,493,018","243,414","229,643",2019-05-03 11:41:12
2019-04,2호선,0217,잠실새내,"664,386","670,333","119,084","119,043",2019-05-03 11:41:12
2019-04,2호선,0218,종합운동장,"361,121","419,387","60,701","64,670",2019-05-03 11:41:12
2019-04,2호선,0219,삼성(무역센터),"1,710,917","1,764,945","127,404","120,419",2019-05-03 11:41:12
2019-04,2호선,0220,선릉,"1,468,836","1,302,711","232,833","205,006",2019-05-03 11:41:12
2019-04,2호선,0221,역삼,"1,305,171","1,462,558","175,637","177,953",2019-05-03 11:41:12
2019-04,2호선,0222,강남,"2,813,223","2,887,203","186,840","167,942",2019-05-03 11:41:12
2019-04,2호선,0223,교대(법원.검찰청),"962,716","1,095,431","178,596","200,173",2019-05-03 11:41:12
2019-04,2호선,0224,서초,"628,033","621,586","96,657","97,034",2019-05-03 11:41:12
2019-04,2호선,0225,방배,"588,107","605,765","88,314","86,812",2019-05-03 11:41:12
