사용월,호선명,역ID,지하철역,유임승차,유임하차,무임승차,무임하차,작업일시
2015-09,1호선,0150,서울역,"1,551,005","1,394,245","220,758","205,378",2015-10-08 10:04:07
2015-09,1호선,0151,시청,"596,008","598,763","96,579","95,842",2015-10-08 10:04:07
2015-09,1호선,0152,종각,"1,096,919","1,051,591","141,919","134,153",2015-10-08 10:04:07
2015-09,1호선,0153,종로3가,"681,715","633,118","345,180","316,257",2015-10-08 10:04:07
2015-09,1호선,0154,종로5가,"502,095","520,277","248,363","239,725",2015-10-08 10:04:07
2015-09,1호선,0155,동대문,"341,314","401,036","130,323","136,647",2015-10-08 10:04:07
2015-09,1호선,0156,신설동,"362,680","353,456","118,071","113,435",2015-10-08 10:04:07
2015-09,1호선,0157,제기동,"268,854","267,216","323,806","344,619",2015-10-08 10:04:07
2015-09,1호선,0158,청량리(지하),"553,427","575,512","342,181","350,112",2015-10-08 10:04:07
2015-09,1호선,0159,동묘앞,"156,375","172,742","132,703","132,649",2015-10-08 10:04:07
2015-09,2호선,0201,시청,"638,717","627,569","59,384","55,923",2015-10-08 10:04:07
2015-09,2호선,0202,을지로입구,"1,298,526","1,302,678","112,803","105,633",2015-10-08 10:04:07
2015-09,2호선,0203,을지로3가,"468,979","453,281","84,999","81,913",2015-10-08 10:04:07
2015-09,2호선,0204,을지로4가,"269,088","268,223","97,479","96,250",2015-10-08 10:04:07
2015-09,2호선,0205,동대문역사문화공원,"451,070","528,861","52,824","58,007",2015-10-08 10:04:07
2015-09,2호선,0206,신당,"325,705","342,223","102,129","102,613",2015-10-08 10:04:07
2015-09,2호선,0207,상왕십리,"254,878","236,296","56,910","57,707",2015-10-08 10:04:07
2015-09,2호선,0208,왕십리(성동구청),"535,477","438,082","55,958","47,852",2015-10-08 10:04:07
2015-09,2호선,0209,한양대,"353,848","424,284","14,922","16,050",2015-10-08 10:04:07
2015-09,2호선,0210,뚝섬,"371,336","394,270","62,866","63,045",2015-10-08 10:04:07
2015-09,2호선,0211,성수,"585,266","649,633","94,906","97,570",2015-10-08 10:04:07
2015-09,2호선,0212,건대입구,"1,197,986","1,318,206","91,695","95,653",2015-10-08 10:04:07
2015-09,2호선,0213,구의,"569,234","552,084","103,994","105,307",2015-10-08 10:04:07
2015-09,2호선,0214,강변,"1,366,763","1,362,399","145,412","144,353",2015-10-08 10:04:07
2015-09,2호선,0215,잠실나루,"435,462","415,971","81,261","82,082",2015-10-08 10:04:07
2015-09,2호선,0216,잠실,"2,111,101","1,934,210","189,874","176,976",2015-10-08 10:04:07
2015-09,2호선,0217,신천,"635,599","622,038","106,781","103,981",2015-10-08 10:04:07
2015-09,2호선,0218,종합운동장,"463,531","523,935","55,977","59,475",2015-10-08 10:04:07
2015-09,2호선,0219,삼성,"1,392,551","1,459,858","116,639","110,902",2015-10-08 10:04:07
2015-09,2호선,0220,선릉,"1,335,392","1,149,606","188,791","163,813",2015-10-08 10:04:07
2015-09,2호선,0221,역삼,"1,100,472","1,240,890","147,690","151,735",2015-10-08 10:04:07
2015-09,2호선,0222,강남,"2,559,307","2,621,178","151,439","135,959",2015-10-08 10:04:07
2015-09,2호선,0223,교대,"903,236","1,006,417","154,347","168,432",2015-10-08 10:04:07
2015-09,2호선,0224,서초,"567,204","582,237","77,337","78,180",2015-10-08 10:04:07
2015-09,2호선,0225,방배,"547,044","558,253","76,343","75,350",2015-10-08 10:04:07
2015-09,2호선,0226,사당,"1,087,150","1,235,983","185,366","173,979",2015-10-08 10:04:07
2015-09,2호선,0227,낙성대,"771,550","735,555","109,489","109,757",2015-10-08 10:04:07
2015-09,2호선,0228,서울대입구,"1,335,938","1,308,199","205,031","198,550",2015-10-08 10:04:07
2015-09,2호선,0229,봉천,"533,083","475,911","140,848","141,179",2015-10-08 10:04:07
2015-09,2호선,0230,신림,"1,846,460","1,782,994","236,566","240,987",2015-10-08 10:04:07
2015-09,2호선,0231,신대방,"662,067","619,334","124,643","127,397",2015-10-08 10:04:07
2015-09,2호선,0232,구로디지털단지,"1,629,699","1,635,677","148,836","151,538",2015-10-08 10:04:07
2015-09,2호선,0233,대림,"774,134","808,921","109,844","114,925",2015-10-08 10:04:07
2015-09,2호선,0234,신도림,"1,638,248","1,637,042","190,749","184,145",2015-10-08 10:04:07
2015-09,2호선,0235,문래,"462,683","471,140","79,918","78,769",2015-10-08 10:04:07
2015-09,2호선,0236,영등포구청,"501,866","505,836","101,449","98,637",2015-10-08 10:04:07
2015-09,2호선,0237,당산,"582,100","649,687","67,356","72,077",2015-10-08 10:04:07
2015-09,2호선,0238,합정,"862,152","892,712","73,387","71,039",2015-10-08 10:04:07
2015-09,2호선,0239,홍대입구,"1,900,085","2,057,473","114,739","111,781",2015-10-08 10:04:07
2015-09,2호선,0240,신촌,"1,304,749","1,343,118","140,364","138,625",2015-10-08 10:04:07
2015-09,2호선,0241,이대,"583,879","628,839","76,145","79,116",2015-10-08 10:04:07
2015-09,2호선,0242,아현,"227,971","214,376","60,759","59,783",2015-10-08 10:04:07
2015-09,2호선,0243,충정로,"268,487","296,151","52,072","52,310",2015-10-08 10:04:07
2015-09,2호선,0244,용답,"58,475","59,695","15,758","15,765",2015-10-08 10:04:07
2015-09,2호선,0245,신답,"29,568","34,028","10,662","11,543",2015-10-08 10:04:07
2015-09,2호선,0246,신설동,"73,919","71,147","30,012","30,842",2015-10-08 10:04:07
2015-09,2호선,0247,도림천,"21,096","24,388","6,079","6,893",2015-10-08 10:04:07
2015-09,2호선,0248,양천구청,"163,542","171,992","44,882","45,602",2015-10-08 10:04:07
2015-09,2호선,0249,신정네거리,"250,857","246,670","62,394","62,984",2015-10-08 10:04:07
2015-09,2호선,0250,용두,"41,455","43,363","22,199","24,222",2015-10-08 10:04:07
2015-09,3호선,0309,지축,"27,061","27,260","13,451","15,274",2015-10-08 10:04:07
2015-09,3호선,0310,구파발,"425,600","342,635","84,795","76,377",2015-10-08 10:04:07
2015-09,3호선,0311,연신내,"969,794","899,484","239,346","231,203",2015-10-08 10:04:07
2015-09,3호선,0312,불광,"420,164","452,148","138,160","151,664",2015-10-08 10:04:07
2015-09,3호선,0313,녹번,"353,609","295,529","78,766","78,492",2015-10-08 10:04:07
2015-09,3호선,0314,홍제,"451,733","415,571","146,852","145,360",2015-10-08 10:04:07
2015-09,3호선,0315,무악재,"89,781","86,800","33,347","36,061",2015-10-08 10:04:07
2015-09,3호선,0316,독립문,"157,570","162,684","72,774","72,236",2015-10-08 10:04:07
2015-09,3호선,0317,경복궁,"621,011","673,296","88,309","86,247",2015-10-08 10:04:07
2015-09,3호선,0318,안국,"630,327","693,111","120,117","129,815",2015-10-08 10:04:07
2015-09,3호선,0319,종로3가,"170,015","239,687","71,215","78,932",2015-10-08 10:04:07
2015-09,3호선,0320,을지로3가,"191,981","230,527","55,031","55,212",2015-10-08 10:04:07
2015-09,3호선,0321,충무로,36,0,4,0,2015-10-08 10:04:07
2015-09,3호선,0322,동대입구,"302,047","348,080","36,832","38,632",2015-10-08 10:04:07
2015-09,3호선,0323,약수,"332,575","315,619","85,136","82,990",2015-10-08 10:04:07
2015-09,3호선,0324,금호,"177,453","158,793","50,439","48,978",2015-10-08 10:04:07
2015-09,3호선,0325,옥수,"241,425","247,829","55,981","56,905",2015-10-08 10:04:07
2015-09,3호선,0326,압구정,"838,434","938,497","141,364","140,943",2015-10-08 10:04:07
2015-09,3호선,0327,신사,"786,139","880,614","72,632","69,927",2015-10-08 10:04:07
2015-09,3호선,0328,잠원,"130,821","125,985","31,534","31,026",2015-10-08 10:04:07
2015-09,3호선,0329,고속터미널,"1,405,079","1,498,888","168,084","167,661",2015-10-08 10:04:07
2015-09,3호선,0330,교대,"333,398","252,376","61,080","42,125",2015-10-08 10:04:07
2015-09,3호선,0331,남부터미널,"921,166","964,871","123,942","125,053",2015-10-08 10:04:07
2015-09,3호선,0332,양재,"1,032,089","1,106,228","156,773","158,011",2015-10-08 10:04:07
2015-09,3호선,0333,매봉,"277,144","264,697","54,246","49,561",2015-10-08 10:04:07
2015-09,3호선,0334,도곡,"178,131","166,818","26,860","22,413",2015-10-08 10:04:07
2015-09,3호선,0335,대치,"276,515","257,717","56,458","53,727",2015-10-08 10:04:07
2015-09,3호선,0336,학여울,"61,978","64,548","13,829","13,509",2015-10-08 10:04:07
2015-09,3호선,0337,대청,"253,775","220,395","47,481","44,965",2015-10-08 10:04:07
2015-09,3호선,0338,일원,"205,912","210,451","56,455","57,041",2015-10-08 10:04:07
