사용월,호선명,역ID,지하철역,유임승차,유임하차,무임승차,무임하차,작업일시
2016-07,1호선,0150,서울역,"1,673,686","1,447,588","212,894","196,344",2016-08-08 10:59:35
2016-07,1호선,0151,시청,"660,196","663,078","88,478","87,129",2016-08-08 10:59:35
2016-07,1호선,0152,종각,"1,266,444","1,219,877","146,243","138,399",2016-08-08 10:59:35
2016-07,1호선,0153,종로3가,"770,598","736,707","341,563","315,580",2016-08-08 10:59:35
2016-07,1호선,0154,종로5가,"555,739","572,510","255,191","244,496",2016-08-08 10:59:35
2016-07,1호선,0155,동대문,"344,612","416,345","133,246","142,479",2016-08-08 10:59:35
2016-07,1호선,0156,신설동,"372,618","368,078","118,903","114,453",2016-08-08 10:59:35
2016-07,1호선,0157,제기동,"279,077","274,773","284,607","299,011",2016-08-08 10:59:35
2016-07,1호선,0158,청량리(지하),"536,539","563,359","339,904","347,179",2016-08-08 10:59:35
2016-07,1호선,0159,동묘앞,"163,028","177,916","130,130","131,080",2016-08-08 10:59:35
2016-07,2호선,0201,시청,"722,291","684,923","56,541","52,229",2016-08-08 10:59:35
2016-07,2호선,0202,을지로입구,"1,458,338","1,463,722","113,488","106,209",2016-08-08 10:59:35
2016-07,2호선,0203,을지로3가,"533,173","527,806","88,359","85,577",2016-08-08 10:59:35
2016-07,2호선,0204,을지로4가,"303,609","296,441","93,458","87,745",2016-08-08 10:59:35
2016-07,2호선,0205,동대문역사문화공원,"537,592","628,392","57,829","63,336",2016-08-08 10:59:35
2016-07,2호선,0206,신당,"351,309","367,486","105,974","107,745",2016-08-08 10:59:35
2016-07,2호선,0207,상왕십리,"270,082","253,501","59,027","60,016",2016-08-08 10:59:35
2016-07,2호선,0208,왕십리(성동구청),"549,540","463,272","59,595","49,815",2016-08-08 10:59:35
2016-07,2호선,0209,한양대,"258,313","285,950","14,202","15,084",2016-08-08 10:59:35
2016-07,2호선,0210,뚝섬,"419,083","448,957","63,908","64,820",2016-08-08 10:59:35
2016-07,2호선,0211,성수,"672,461","739,868","96,129","98,131",2016-08-08 10:59:35
2016-07,2호선,0212,건대입구,"1,281,581","1,420,635","92,160","97,382",2016-08-08 10:59:35
2016-07,2호선,0213,구의,"636,179","616,076","106,003","107,296",2016-08-08 10:59:35
2016-07,2호선,0214,강변,"1,392,256","1,401,792","141,034","139,877",2016-08-08 10:59:35
2016-07,2호선,0215,잠실나루,"459,108","439,180","84,793","85,842",2016-08-08 10:59:35
2016-07,2호선,0216,잠실,"2,398,868","2,234,926","204,839","191,833",2016-08-08 10:59:35
2016-07,2호선,0217,신천,"715,468","715,482","113,649","110,727",2016-08-08 10:59:35
2016-07,2호선,0218,종합운동장,"508,693","564,150","58,476","61,382",2016-08-08 10:59:35
2016-07,2호선,0219,삼성,"1,710,919","1,773,727","122,393","116,145",2016-08-08 10:59:35
2016-07,2호선,0220,선릉,"1,503,936","1,283,980","193,637","167,496",2016-08-08 10:59:35
2016-07,2호선,0221,역삼,"1,229,512","1,375,918","145,245","148,696",2016-08-08 10:59:35
2016-07,2호선,0222,강남,"3,221,329","3,265,282","162,517","145,604",2016-08-08 10:59:35
2016-07,2호선,0223,교대,"1,011,425","1,116,396","155,602","168,905",2016-08-08 10:59:35
2016-07,2호선,0224,서초,"618,640","622,165","78,719","79,119",2016-08-08 10:59:35
2016-07,2호선,0225,방배,"512,823","514,370","77,732","77,270",2016-08-08 10:59:35
2016-07,2호선,0226,사당,"1,113,393","1,292,699","188,633","178,056",2016-08-08 10:59:35
2016-07,2호선,0227,낙성대,"843,981","802,212","107,708","108,470",2016-08-08 10:59:35
2016-07,2호선,0228,서울대입구,"1,408,853","1,385,052","209,320","202,657",2016-08-08 10:59:35
2016-07,2호선,0229,봉천,"573,317","516,624","147,820","148,750",2016-08-08 10:59:35
2016-07,2호선,0230,신림,"1,990,766","1,939,040","236,845","242,504",2016-08-08 10:59:35
2016-07,2호선,0231,신대방,"747,813","696,300","129,847","131,938",2016-08-08 10:59:35
2016-07,2호선,0232,구로디지털단지,"1,783,941","1,785,004","162,677","165,136",2016-08-08 10:59:35
2016-07,2호선,0233,대림,"861,773","894,719","114,750","119,233",2016-08-08 10:59:35
2016-07,2호선,0234,신도림,"1,707,455","1,710,876","198,341","191,013",2016-08-08 10:59:35
2016-07,2호선,0235,문래,"492,380","501,604","81,216","79,622",2016-08-08 10:59:35
2016-07,2호선,0236,영등포구청,"546,662","552,605","104,665","101,353",2016-08-08 10:59:35
2016-07,2호선,0237,당산,"579,009","655,244","65,449","71,636",2016-08-08 10:59:35
2016-07,2호선,0238,합정,"959,427","1,000,518","70,916","70,187",2016-08-08 10:59:35
2016-07,2호선,0239,홍대입구,"2,297,965","2,481,001","115,810","112,841",2016-08-08 10:59:35
2016-07,2호선,0240,신촌,"1,447,297","1,484,792","139,555","137,513",2016-08-08 10:59:35
2016-07,2호선,0241,이대,"545,242","574,816","73,951","75,345",2016-08-08 10:59:35
2016-07,2호선,0242,아현,"248,569","228,418","64,615","62,667",2016-08-08 10:59:35
2016-07,2호선,0243,충정로,"304,255","331,514","52,181","52,474",2016-08-08 10:59:35
2016-07,2호선,0244,용답,"61,933","60,685","16,559","16,181",2016-08-08 10:59:35
2016-07,2호선,0245,신답,"31,724","35,632","10,851","11,896",2016-08-08 10:59:35
2016-07,2호선,0246,신설동,"90,906","84,822","33,783","34,510",2016-08-08 10:59:35
2016-07,2호선,0247,도림천,"25,816","28,652","6,202","7,025",2016-08-08 10:59:35
2016-07,2호선,0248,양천구청,"172,154","181,670","44,267","44,927",2016-08-08 10:59:35
2016-07,2호선,0249,신정네거리,"258,707","260,689","65,289","66,584",2016-08-08 10:59:35
2016-07,2호선,0250,용두,"48,700","50,948","22,034","23,357",2016-08-08 10:59:35
2016-07,3호선,0309,지축,"29,748","29,227","12,676","14,270",2016-08-08 10:59:35
2016-07,3호선,0310,구파발,"444,864","370,201","86,585","78,429",2016-08-08 10:59:35
2016-07,3호선,0311,연신내,"1,041,590","969,675","258,130","251,472",2016-08-08 10:59:35
2016-07,3호선,0312,불광,"452,934","492,576","150,403","165,287",2016-08-08 10:59:35
2016-07,3호선,0313,녹번,"337,238","282,905","69,522","68,399",2016-08-08 10:59:35
2016-07,3호선,0314,홍제,"454,072","413,625","149,626","148,946",2016-08-08 10:59:35
2016-07,3호선,0315,무악재,"96,698","93,028","32,797","35,053",2016-08-08 10:59:35
2016-07,3호선,0316,독립문,"161,743","164,951","69,371","69,142",2016-08-08 10:59:35
2016-07,3호선,0317,경복궁,"651,520","692,408","85,362","82,671",2016-08-08 10:59:35
2016-07,3호선,0318,안국,"666,642","715,408","122,763","132,027",2016-08-08 10:59:35
2016-07,3호선,0319,종로3가,"194,038","272,244","65,924","72,266",2016-08-08 10:59:35
2016-07,3호선,0320,을지로3가,"216,660","253,975","58,699","59,379",2016-08-08 10:59:35
2016-07,3호선,0321,충무로,43,0,2,0,2016-08-08 10:59:35
2016-07,3호선,0322,동대입구,"289,935","317,116","36,131","37,222",2016-08-08 10:59:35
2016-07,3호선,0323,약수,"357,754","341,186","86,420","83,353",2016-08-08 10:59:35
2016-07,3호선,0324,금호,"188,095","169,088","51,591","50,263",2016-08-08 10:59:35
2016-07,3호선,0325,옥수,"253,409","265,313","58,897","59,671",2016-08-08 10:59:35
2016-07,3호선,0326,압구정,"978,349","1,077,920","139,817","137,856",2016-08-08 10:59:35
2016-07,3호선,0327,신사,"909,752","1,000,934","69,212","66,755",2016-08-08 10:59:35
2016-07,3호선,0328,잠원,"142,704","138,736","31,411","30,544",2016-08-08 10:59:35
2016-07,3호선,0329,고속터미널,"1,609,128","1,685,679","173,560","170,564",2016-08-08 10:59:35
2016-07,3호선,0330,교대,"363,136","266,161","63,941","44,672",2016-08-08 10:59:35
2016-07,3호선,0331,남부터미널,"984,447","1,019,343","125,095","125,791",2016-08-08 10:59:35
2016-07,3호선,0332,양재,"1,064,983","1,152,316","148,511","149,193",2016-08-08 10:59:35
2016-07,3호선,0333,매봉,"302,953","295,912","53,411","49,744",2016-08-08 10:59:35
2016-07,3호선,0334,도곡,"186,451","178,702","26,950","22,068",2016-08-08 10:59:35
2016-07,3호선,0335,대치,"323,777","303,465","58,612","55,996",2016-08-08 10:59:35
2016-07,3호선,0336,학여울,"97,398","100,879","13,027","13,058",2016-08-08 10:59:35
2016-07,3호선,0337,대청,"267,117","232,060","49,180","46,669",2016-08-08 10:59:35
2016-07,3호선,0338,일원,"220,419","231,584","55,672","57,458",2016-08-08 10:59:35
2016-07,3호선,0339,수서,"279,759","292,271","80,246","78,971",2016-08-08 10:59:35
2016-07,3호선,0340,가락시장,"218,211","206,979","63,451","61,315",2016-08-08 10:59:35
2016-07,3호선,0341,경찰병원,"193,217","192,535","37,091","37,734",2016-08-08 10:59:35
2016-07,3호선,0342,오금,"181,371","160,700","24,978","23,492",2016-08-08 10:59:35
2016-07,4호선,0409,당고개,"330,013","306,161","95,139","94,915",2016-08-08 10:59:35
2016-07,4호선,0410,상계,"557,239","490,624","115,561","114,412",2016-08-08 10:59:35
2016-07,4호선,0411,노원,"631,834","720,166","90,798","88,394",2016-08-08 10:59:35
2016-07,4호선,0412,창동,"739,499","792,604","183,133","191,582",2016-08-08 10:59:35
2016-07,4호선,0413,쌍문,"865,278","733,752","165,387","159,804",2016-08-08 10:59:35
2016-07,4호선,0414,수유(강북구청),"1,130,577","1,088,530","249,112","249,203",2016-08-08 10:59:35
2016-07,4호선,0415,미아,"454,507","398,772","129,782","128,735",2016-08-08 10:59:35
2016-07,4호선,0416,미아사거리,"837,686","803,863","188,893","191,364",2016-08-08 10:59:35
2016-07,4호선,0417,길음,"669,637","619,526","147,697","148,419",2016-08-08 10:59:35
2016-07,4호선,0418,성신여대입구,"691,081","639,179","103,311","99,154",2016-08-08 10:59:35
2016-07,4호선,0419,한성대입구,"398,010","371,990","77,615","76,334",2016-08-08 10:59:35
2016-07,4호선,0420,혜화,"1,145,029","1,210,257","128,181","128,823",2016-08-08 10:59:35
2016-07,4호선,0421,동대문,"655,107","678,442","156,607","146,065",2016-08-08 10:59:35
2016-07,4호선,0422,동대문역사문화공원,"691,820","620,588","64,687","57,499",2016-08-08 10:59:35
2016-07,4호선,0423,충무로,"836,080","872,545","126,688","128,869",2016-08-08 10:59:35
2016-07,4호선,0424,명동,"1,158,027","1,271,193","69,012","71,821",2016-08-08 10:59:35
2016-07,4호선,0425,회현,"715,266","765,924","203,466","203,227",2016-08-08 10:59:35
2016-07,4호선,0426,서울역,"329,990","616,536","39,405","49,320",2016-08-08 10:59:35
2016-07,4호선,0427,숙대입구,"440,630","435,710","58,980","56,339",2016-08-08 10:59:35
2016-07,4호선,0428,삼각지,"116,056","147,417","29,637","31,818",2016-08-08 10:59:35
2016-07,4호선,0429,신용산,"352,522","375,353","51,204","51,239",2016-08-08 10:59:35
2016-07,4호선,0430,이촌,"240,864","274,534","44,901","48,428",2016-08-08 10:59:35
2016-07,4호선,0431,동작,"56,939","60,958","19,380","19,062",2016-08-08 10:59:35
