사용월,호선명,역ID,지하철역,유임승차,유임하차,무임승차,무임하차,작업일시
2017-12,1호선,0150,서울역,"1,485,919","1,450,014","211,349","205,383",2018-01-03 12:05:20
2017-12,1호선,0151,시청,"705,560","699,108","97,384","95,912",2018-01-03 12:05:20
2017-12,1호선,0152,종각,"1,341,757","1,260,495","166,079","156,449",2018-01-03 12:05:20
2017-12,1호선,0153,종로3가,"741,139","689,312","381,909","353,920",2018-01-03 12:05:20
2017-12,1호선,0154,종로5가,"568,364","574,230","266,374","256,196",2018-01-03 12:05:20
2017-12,1호선,0155,동대문,"355,005","414,439","137,250","143,800",2018-01-03 12:05:20
2017-12,1호선,0156,신설동,"381,805","371,663","121,716","116,935",2018-01-03 12:05:20
2017-12,1호선,0157,제기동,"296,747","290,519","321,443","341,428",2018-01-03 12:05:20
2017-12,1호선,0158,청량리(서울시립대입구),"526,470","558,829","321,642","323,984",2018-01-03 12:05:20
2017-12,1호선,0159,동묘앞,"174,868","187,075","134,444","136,192",2018-01-03 12:05:20
2017-12,2호선,0201,시청,"718,081","669,687","61,064","56,078",2018-01-03 12:05:20
2017-12,2호선,0202,을지로입구,"1,499,355","1,477,801","122,345","113,149",2018-01-03 12:05:20
2017-12,2호선,0203,을지로3가,"550,014","544,251","90,958","89,879",2018-01-03 12:05:20
2017-12,2호선,0204,을지로4가,"291,664","288,720","92,741","88,099",2018-01-03 12:05:20
2017-12,2호선,0205,동대문역사문화공원,"517,722","611,607","61,880","66,680",2018-01-03 12:05:20
2017-12,2호선,0206,신당,"369,756","390,030","104,942","107,642",2018-01-03 12:05:20
2017-12,2호선,0207,상왕십리,"362,922","340,072","67,680","68,472",2018-01-03 12:05:20
2017-12,2호선,0208,왕십리(성동구청),"574,752","464,303","61,683","51,215",2018-01-03 12:05:20
2017-12,2호선,0209,한양대,"356,065","403,608","15,723","16,853",2018-01-03 12:05:20
2017-12,2호선,0210,뚝섬,"436,308","465,542","62,507","62,885",2018-01-03 12:05:20
2017-12,2호선,0211,성수,"708,808","777,351","101,374","103,916",2018-01-03 12:05:20
2017-12,2호선,0212,건대입구,"1,311,016","1,455,188","98,292","102,754",2018-01-03 12:05:20
2017-12,2호선,0213,구의(광진구청),"632,152","607,406","107,291","108,623",2018-01-03 12:05:20
2017-12,2호선,0214,강변(동서울터미널),"1,372,688","1,358,528","144,863","142,352",2018-01-03 12:05:20
2017-12,2호선,0215,잠실나루,"456,200","428,424","87,974","88,402",2018-01-03 12:05:20
2017-12,2호선,0216,잠실(송파구청),"2,782,605","2,625,144","236,199","225,328",2018-01-03 12:05:20
2017-12,2호선,0217,잠실새내,"727,468","747,039","120,415","118,231",2018-01-03 12:05:20
2017-12,2호선,0218,종합운동장,"352,360","400,114","50,208","53,191",2018-01-03 12:05:20
2017-12,2호선,0219,삼성(무역센터),"1,844,750","1,911,855","130,990","124,850",2018-01-03 12:05:20
2017-12,2호선,0220,선릉,"1,469,709","1,262,950","214,663","184,946",2018-01-03 12:05:20
2017-12,2호선,0221,역삼,"1,265,021","1,395,727","159,264","162,019",2018-01-03 12:05:20
2017-12,2호선,0222,강남,"2,999,217","3,072,815","175,196","158,197",2018-01-03 12:05:20
2017-12,2호선,0223,교대(법원.검찰청),"940,969","1,070,430","176,469","201,932",2018-01-03 12:05:20
2017-12,2호선,0224,서초,"630,522","630,608","90,510","90,632",2018-01-03 12:05:20
2017-12,2호선,0225,방배,"547,673","556,292","83,849","83,388",2018-01-03 12:05:20
2017-12,2호선,0226,사당,"1,140,749","1,377,749","216,670","204,267",2018-01-03 12:05:20
2017-12,2호선,0227,낙성대,"826,102","777,857","114,714","115,378",2018-01-03 12:05:20
2017-12,2호선,0228,서울대입구(관악구청),"1,428,443","1,372,829","203,862","195,472",2018-01-03 12:05:20
2017-12,2호선,0229,봉천,"576,204","515,307","145,967","147,133",2018-01-03 12:05:20
2017-12,2호선,0230,신림,"1,966,259","1,912,394","246,453","254,530",2018-01-03 12:05:20
