사용월,호선명,역ID,지하철역,유임승차,유임하차,무임승차,무임하차,작업일시
2015-10,1호선,0150,서울역,"1,702,655","1,501,987","243,867","226,844",2015-11-08 12:49:17
2015-10,1호선,0151,시청,"679,210","687,478","106,205","106,617",2015-11-08 12:49:17
2015-10,1호선,0152,종각,"1,199,979","1,137,174","158,856","149,850",2015-11-08 12:49:17
2015-10,1호선,0153,종로3가,"743,633","683,553","376,222","343,656",2015-11-08 12:49:17
2015-10,1호선,0154,종로5가,"565,358","583,054","277,019","266,868",2015-11-08 12:49:17
2015-10,1호선,0155,동대문,"343,693","424,762","141,092","151,520",2015-11-08 12:49:17
2015-10,1호선,0156,신설동,"389,625","381,740","127,800","124,034",2015-11-08 12:49:17
2015-10,1호선,0157,제기동,"290,008","285,374","317,349","332,905",2015-11-08 12:49:17
2015-10,1호선,0158,청량리(지하),"587,943","610,295","342,757","345,652",2015-11-08 12:49:17
2015-10,1호선,0159,동묘앞,"169,865","186,853","142,657","144,265",2015-11-08 12:49:17
2015-10,2호선,0201,시청,"714,247","699,742","64,803","60,969",2015-11-08 12:49:17
2015-10,2호선,0202,을지로입구,"1,424,089","1,424,840","128,922","120,152",2015-11-08 12:49:17
2015-10,2호선,0203,을지로3가,"513,223","499,162","94,127","90,996",2015-11-08 12:49:17
2015-10,2호선,0204,을지로4가,"301,573","298,270","100,944","99,376",2015-11-08 12:49:17
2015-10,2호선,0205,동대문역사문화공원,"522,526","609,795","60,918","67,660",2015-11-08 12:49:17
2015-10,2호선,0206,신당,"356,432","379,526","110,216","111,394",2015-11-08 12:49:17
2015-10,2호선,0207,상왕십리,"275,343","255,728","61,639","62,401",2015-11-08 12:49:17
2015-10,2호선,0208,왕십리(성동구청),"568,482","469,935","62,121","53,231",2015-11-08 12:49:17
2015-10,2호선,0209,한양대,"384,810","451,282","17,499","18,896",2015-11-08 12:49:17
2015-10,2호선,0210,뚝섬,"422,508","445,921","68,949","69,074",2015-11-08 12:49:17
2015-10,2호선,0211,성수,"641,967","716,699","104,050","106,981",2015-11-08 12:49:17
2015-10,2호선,0212,건대입구,"1,296,956","1,422,646","101,001","105,665",2015-11-08 12:49:17
2015-10,2호선,0213,구의,"617,908","599,202","112,612","114,243",2015-11-08 12:49:17
2015-10,2호선,0214,강변,"1,453,991","1,433,481","163,640","163,095",2015-11-08 12:49:17
2015-10,2호선,0215,잠실나루,"475,946","452,909","88,738","90,362",2015-11-08 12:49:17
2015-10,2호선,0216,잠실,"2,375,233","2,190,236","225,877","208,191",2015-11-08 12:49:17
2015-10,2호선,0217,신천,"688,985","675,177","117,821","114,684",2015-11-08 12:49:17
2015-10,2호선,0218,종합운동장,"533,227","598,531","68,912","74,477",2015-11-08 12:49:17
2015-10,2호선,0219,삼성,"1,590,907","1,667,336","129,644","123,642",2015-11-08 12:49:17
2015-10,2호선,0220,선릉,"1,456,421","1,254,593","208,943","181,023",2015-11-08 12:49:17
2015-10,2호선,0221,역삼,"1,198,687","1,351,213","159,870","164,142",2015-11-08 12:49:17
2015-10,2호선,0222,강남,"2,737,524","2,809,821","165,087","147,920",2015-11-08 12:49:17
2015-10,2호선,0223,교대,"975,571","1,086,740","165,202","180,198",2015-11-08 12:49:17
2015-10,2호선,0224,서초,"628,817","632,843","86,083","85,170",2015-11-08 12:49:17
2015-10,2호선,0225,방배,"593,469","603,849","84,073","82,878",2015-11-08 12:49:17
2015-10,2호선,0226,사당,"1,181,443","1,355,565","205,729","193,997",2015-11-08 12:49:17
2015-10,2호선,0227,낙성대,"841,725","800,371","120,519","120,706",2015-11-08 12:49:17
2015-10,2호선,0228,서울대입구,"1,425,473","1,402,307","225,210","218,418",2015-11-08 12:49:17
2015-10,2호선,0229,봉천,"572,169","514,852","153,516","153,912",2015-11-08 12:49:17
2015-10,2호선,0230,신림,"2,013,715","1,939,384","259,542","264,732",2015-11-08 12:49:17
2015-10,2호선,0231,신대방,"711,940","667,632","134,923","138,403",2015-11-08 12:49:17
2015-10,2호선,0232,구로디지털단지,"1,765,384","1,771,862","163,657","167,271",2015-11-08 12:49:17
2015-10,2호선,0233,대림,"819,332","853,314","120,854","126,160",2015-11-08 12:49:17
2015-10,2호선,0234,신도림,"1,795,612","1,799,442","210,671","203,347",2015-11-08 12:49:17
2015-10,2호선,0235,문래,"504,232","512,771","86,147","85,328",2015-11-08 12:49:17
2015-10,2호선,0236,영등포구청,"544,753","550,439","111,499","109,397",2015-11-08 12:49:17
2015-10,2호선,0237,당산,"635,086","712,138","75,620","81,273",2015-11-08 12:49:17
2015-10,2호선,0238,합정,"951,485","994,055","81,612","79,659",2015-11-08 12:49:17
2015-10,2호선,0239,홍대입구,"2,122,487","2,298,057","127,266","123,453",2015-11-08 12:49:17
2015-10,2호선,0240,신촌,"1,395,226","1,435,013","154,457","152,252",2015-11-08 12:49:17
2015-10,2호선,0241,이대,"646,710","690,085","81,383","84,150",2015-11-08 12:49:17
2015-10,2호선,0242,아현,"248,095","235,099","65,753","64,676",2015-11-08 12:49:17
2015-10,2호선,0243,충정로,"293,750","325,872","55,540","55,929",2015-11-08 12:49:17
2015-10,2호선,0244,용답,"61,732","62,694","17,184","17,124",2015-11-08 12:49:17
2015-10,2호선,0245,신답,"31,034","35,809","11,548","12,373",2015-11-08 12:49:17
