사용월,호선명,역ID,지하철역,유임승차,유임하차,무임승차,무임하차,작업일시
15-May,1호선,152,종각,"1,233,184","1,152,644","164,050","154,450",2015-06-08 9:17
15-May,1호선,153,종로3가,"770,906","699,029","368,052","335,492",2015-06-08 9:17
15-May,1호선,158,청량리(지하),"608,639","634,437","361,977","366,709",2015-06-08 9:17
15-May,1호선,157,제기동,"291,242","287,105","315,674","331,151",2015-06-08 9:17
15-May,1호선,151,시청,"640,658","642,361","96,419","95,944",2015-06-08 9:17
15-May,1호선,159,동묘앞,"177,919","194,702","147,918","147,077",2015-06-08 9:17
15-May,1호선,155,동대문,"388,574","463,901","152,300","160,522",2015-06-08 9:17
15-May,1호선,154,종로5가,"566,242","574,821","285,090","273,615",2015-06-08 9:17
15-May,1호선,156,신설동,"386,026","377,405","128,167","123,902",2015-06-08 9:17
15-May,1호선,150,서울역,"1,729,959","1,528,601","240,726","224,543",2015-06-08 9:17
15-May,2호선,213,구의,"601,905","581,349","108,269","109,819",2015-06-08 9:17
15-May,2호선,225,방배,"580,326","587,990","80,131","79,219",2015-06-08 9:17
15-May,2호선,222,강남,"2,745,195","2,811,347","156,973","141,161",2015-06-08 9:17
15-May,2호선,223,교대,"971,565","1,083,514","155,551","169,042",2015-06-08 9:17
15-May,2호선,229,봉천,"569,487","512,027","148,619","149,044",2015-06-08 9:17
15-May,2호선,234,신도림,"1,822,804","1,829,793","216,949","210,554",2015-06-08 9:17
15-May,2호선,249,신정네거리,"270,727","266,007","63,933","64,020",2015-06-08 9:17
15-May,2호선,219,삼성,"1,584,242","1,641,873","132,284","127,045",2015-06-08 9:17
15-May,2호선,224,서초,"588,377","599,228","78,779","80,032",2015-06-08 9:17
15-May,2호선,208,왕십리(성동구청),"586,421","491,377","60,019","51,293",2015-06-08 9:17
15-May,2호선,244,용답,"60,914","62,498","16,571","16,709",2015-06-08 9:17
15-May,2호선,210,뚝섬,"403,834","424,435","68,573","68,732",2015-06-08 9:17
15-May,2호선,235,문래,"478,116","484,496","82,620","81,393",2015-06-08 9:17
15-May,2호선,238,합정,"978,617","1,005,599","82,177","78,493",2015-06-08 9:17
15-May,2호선,250,용두,"44,318","46,783","21,454","23,234",2015-06-08 9:17
15-May,2호선,240,신촌,"1,518,822","1,553,722","150,025","148,778",2015-06-08 9:17
15-May,2호선,212,건대입구,"1,406,733","1,544,439","100,705","105,193",2015-06-08 9:17
15-May,2호선,218,종합운동장,"592,929","678,752","66,269","70,808",2015-06-08 9:17
15-May,2호선,228,서울대입구,"1,443,031","1,420,487","226,207","220,763",2015-06-08 9:17
15-May,2호선,206,신당,"351,999","377,442","107,335","109,227",2015-06-08 9:17
15-May,2호선,217,신천,"708,012","690,442","114,004","111,655",2015-06-08 9:17
15-May,2호선,241,이대,"702,526","749,299","83,152","86,058",2015-06-08 9:17
15-May,2호선,242,아현,"247,713","213,785","64,301","58,698",2015-06-08 9:17
15-May,2호선,216,잠실,"2,343,325","2,118,005","213,516","197,323",2015-06-08 9:17
15-May,2호선,233,대림,"832,579","866,146","118,192","123,005",2015-06-08 9:17
15-May,2호선,207,상왕십리,"260,880","244,362","56,808","58,118",2015-06-08 9:17
15-May,2호선,211,성수,"593,944","661,332","93,304","94,601",2015-06-08 9:17
15-May,2호선,232,구로디지털단지,"1,717,315","1,710,862","158,291","160,327",2015-06-08 9:17
15-May,2호선,243,충정로,"276,189","302,850","54,213","54,095",2015-06-08 9:17
15-May,2호선,246,신설동,"89,928","82,120","36,047","35,597",2015-06-08 9:17
15-May,2호선,202,을지로입구,"1,405,078","1,390,758","120,147","111,753",2015-06-08 9:17
15-May,2호선,203,을지로3가,"473,299","453,915","89,912","87,160",2015-06-08 9:17
15-May,2호선,220,선릉,"1,354,393","1,171,924","188,917","164,148",2015-06-08 9:17
15-May,2호선,230,신림,"2,002,688","1,940,276","253,736","257,253",2015-06-08 9:17
15-May,2호선,247,도림천,"22,157","24,904","5,981","6,919",2015-06-08 9:17
15-May,2호선,205,동대문역사문화공원,"534,508","619,440","62,187","69,931",2015-06-08 9:17
15-May,2호선,239,홍대입구,"2,268,675","2,453,034","125,401","122,013",2015-06-08 9:17
15-May,2호선,204,을지로4가,"282,434","282,854","99,439","98,326",2015-06-08 9:17
15-May,2호선,245,신답,"30,269","34,804","10,853","11,886",2015-06-08 9:17
15-May,2호선,248,양천구청,"181,282","190,923","47,735","48,438",2015-06-08 9:17
15-May,2호선,237,당산,"639,746","700,523","75,790","80,608",2015-06-08 9:17
15-May,2호선,226,사당,"1,169,760","1,341,015","190,697","179,437",2015-06-08 9:17
15-May,2호선,231,신대방,"703,382","664,458","133,029","136,720",2015-06-08 9:17
15-May,2호선,214,강변,"1,519,351","1,510,610","160,143","157,809",2015-06-08 9:17
15-May,2호선,236,영등포구청,"523,794","527,940","107,719","105,308",2015-06-08 9:17
15-May,2호선,201,시청,"664,804","643,971","59,947","55,885",2015-06-08 9:17
15-May,2호선,227,낙성대,"833,073","795,805","118,498","118,955",2015-06-08 9:17
15-May,2호선,209,한양대,"394,535","468,744","18,098","19,761",2015-06-08 9:17
15-May,2호선,215,잠실나루,"463,900","443,759","86,195","87,089",2015-06-08 9:17
15-May,2호선,221,역삼,"1,108,186","1,247,403","146,217","149,742",2015-06-08 9:17
15-May,3호선,321,충무로,38,0,1,0,2015-06-08 9:17
15-May,3호선,325,옥수,"264,142","270,389","59,443","59,878",2015-06-08 9:17
15-May,3호선,329,고속터미널,"1,694,766","1,780,820","193,293","191,669",2015-06-08 9:17
15-May,3호선,335,대치,"302,511","279,774","56,342","53,858",2015-06-08 9:17
15-May,3호선,324,금호,"192,301","172,028","53,782","52,357",2015-06-08 9:17
15-May,3호선,314,홍제,"501,871","464,266","160,052","158,246",2015-06-08 9:17
15-May,3호선,334,도곡,"191,800","178,205","27,829","23,199",2015-06-08 9:17
15-May,3호선,339,수서,"285,228","293,057","78,202","77,284",2015-06-08 9:17
15-May,3호선,317,경복궁,"741,991","816,431","97,478","95,541",2015-06-08 9:17
15-May,3호선,327,신사,"887,184","978,087","75,089","73,333",2015-06-08 9:17
15-May,3호선,340,가락시장,"206,135","185,826","62,089","59,037",2015-06-08 9:17
15-May,3호선,320,을지로3가,"195,789","231,198","57,580","58,049",2015-06-08 9:17
15-May,3호선,326,압구정,"921,444","1,025,566","150,524","150,661",2015-06-08 9:17
