사용월,호선명,역ID,지하철역,유임승차,유임하차,무임승차,무임하차,작업일시
2018-12,1호선,0150,서울역,"1,573,438","1,466,566","227,511","219,080",2019-01-03 11:05:07
2018-12,1호선,0151,시청,"718,629","707,398","108,220","105,417",2019-01-03 11:05:07
2018-12,1호선,0152,종각,"1,240,666","1,184,445","169,334","158,216",2019-01-03 11:05:07
2018-12,1호선,0153,종로3가,"684,631","649,721","393,051","367,217",2019-01-03 11:05:07
2018-12,1호선,0154,종로5가,"562,548","579,866","272,479","262,041",2019-01-03 11:05:07
2018-12,1호선,0155,동대문,"341,500","386,494","141,192","146,658",2019-01-03 11:05:07
2018-12,1호선,0156,신설동,"372,140","363,085","123,951","118,731",2019-01-03 11:05:07
2018-12,1호선,0157,제기동,"287,557","278,704","327,772","346,642",2019-01-03 11:05:07
2018-12,1호선,0158,청량리(서울시립대입구),"485,919","510,272","323,495","329,170",2019-01-03 11:05:07
2018-12,1호선,0159,동묘앞,"187,159","202,403","145,104","146,665",2019-01-03 11:05:07
2018-12,2호선,0201,시청,"722,648","675,906","64,515","58,043",2019-01-03 11:05:07
2018-12,2호선,0202,을지로입구,"1,494,600","1,473,711","124,032","113,785",2019-01-03 11:05:07
2018-12,2호선,0203,을지로3가,"604,586","593,336","92,882","92,101",2019-01-03 11:05:07
2018-12,2호선,0204,을지로4가,"288,194","291,196","92,135","87,684",2019-01-03 11:05:07
2018-12,2호선,0205,동대문역사문화공원,"526,763","613,696","61,353","64,841",2019-01-03 11:05:07
2018-12,2호선,0206,신당,"360,493","381,563","104,796","106,308",2019-01-03 11:05:07
2018-12,2호선,0207,상왕십리,"375,471","353,894","69,363","70,323",2019-01-03 11:05:07
2018-12,2호선,0208,왕십리(성동구청),"567,352","463,060","63,306","53,243",2019-01-03 11:05:07
2018-12,2호선,0209,한양대,"323,245","367,713","15,079","16,383",2019-01-03 11:05:07
2018-12,2호선,0210,뚝섬,"458,721","485,846","62,520","63,153",2019-01-03 11:05:07
2018-12,2호선,0211,성수,"726,370","799,776","104,421","106,136",2019-01-03 11:05:07
2018-12,2호선,0212,건대입구,"1,252,275","1,416,099","99,780","104,763",2019-01-03 11:05:07
2018-12,2호선,0213,구의(광진구청),"634,978","609,708","110,731","112,098",2019-01-03 11:05:07
2018-12,2호선,0214,강변(동서울터미널),"1,291,145","1,275,158","147,870","143,715",2019-01-03 11:05:07
2018-12,2호선,0215,잠실나루,"412,033","392,095","92,064","92,221",2019-01-03 11:05:07
2018-12,2호선,0216,잠실(송파구청),"2,582,981","2,466,015","227,102","216,507",2019-01-03 11:05:07
2018-12,2호선,0217,잠실새내,"677,795","696,901","119,234","118,146",2019-01-03 11:05:07
2018-12,2호선,0218,종합운동장,"311,506","340,827","50,477","52,642",2019-01-03 11:05:07
2018-12,2호선,0219,삼성(무역센터),"1,884,005","1,943,886","133,022","125,443",2019-01-03 11:05:07
2018-12,2호선,0220,선릉,"1,443,225","1,277,604","221,308","195,003",2019-01-03 11:05:07
2018-12,2호선,0221,역삼,"1,259,542","1,399,085","159,022","161,229",2019-01-03 11:05:07
2018-12,2호선,0222,강남,"2,921,224","3,016,683","185,634","167,773",2019-01-03 11:05:07
2018-12,2호선,0223,교대(법원.검찰청),"907,135","1,036,398","174,477","197,866",2019-01-03 11:05:07
2018-12,2호선,0224,서초,"633,292","634,512","98,368","99,322",2019-01-03 11:05:07
2018-12,2호선,0225,방배,"513,458","529,721","87,474","86,582",2019-01-03 11:05:07
2018-12,2호선,0226,사당,"1,150,628","1,330,692","228,726","214,965",2019-01-03 11:05:07
2018-12,2호선,0227,낙성대,"805,062","764,531","114,887","115,445",2019-01-03 11:05:07
2018-12,2호선,0228,서울대입구(관악구청),"1,433,156","1,380,184","211,038","201,976",2019-01-03 11:05:07
2018-12,2호선,0229,봉천,"603,793","543,160","154,663","155,240",2019-01-03 11:05:07
2018-12,2호선,0230,신림,"1,929,213","1,880,190","253,807","258,891",2019-01-03 11:05:07
2018-12,2호선,0231,신대방,"753,576","702,095","131,500","132,050",2019-01-03 11:05:07
2018-12,2호선,0232,구로디지털단지,"1,742,156","1,730,597","178,982","181,615",2019-01-03 11:05:07
2018-12,2호선,0233,대림(구로구청),"780,513","805,227","118,184","121,899",2019-01-03 11:05:07
2018-12,2호선,0234,신도림,"1,662,655","1,655,683","224,241","213,801",2019-01-03 11:05:07
2018-12,2호선,0235,문래,"521,036","530,288","85,709","84,754",2019-01-03 11:05:07
2018-12,2호선,0236,영등포구청,"548,822","561,177","105,392","103,155",2019-01-03 11:05:07
2018-12,2호선,0237,당산,"597,899","659,898","70,347","75,929",2019-01-03 11:05:07
2018-12,2호선,0238,합정,"980,164","1,068,441","75,780","75,808",2019-01-03 11:05:07
2018-12,2호선,0239,홍대입구,"2,488,919","2,697,140","118,818","116,322",2019-01-03 11:05:07
2018-12,2호선,0240,신촌,"1,374,785","1,403,898","148,301","145,811",2019-01-03 11:05:07
2018-12,2호선,0241,이대,"549,599","580,283","64,843","65,161",2019-01-03 11:05:07
2018-12,2호선,0242,아현,"267,569","258,045","65,923","65,582",2019-01-03 11:05:07
