사용월,호선명,역ID,지하철역,유임승차,유임하차,무임승차,무임하차,작업일시
2016-05,1호선,0150,서울역,"1,748,250","1,537,480","234,803","217,300",2016-06-08 12:04:15
2016-05,1호선,0151,시청,"697,874","705,082","96,178","95,630",2016-06-08 12:04:15
2016-05,1호선,0152,종각,"1,282,865","1,206,075","161,590","151,019",2016-06-08 12:04:15
2016-05,1호선,0153,종로3가,"761,955","696,928","369,132","339,244",2016-06-08 12:04:15
2016-05,1호선,0154,종로5가,"589,325","607,852","279,170","268,941",2016-06-08 12:04:15
2016-05,1호선,0155,동대문,"366,411","445,432","143,588","154,947",2016-06-08 12:04:15
2016-05,1호선,0156,신설동,"395,370","387,033","124,301","120,629",2016-06-08 12:04:15
2016-05,1호선,0157,제기동,"298,797","294,285","299,148","312,967",2016-06-08 12:04:15
2016-05,1호선,0158,청량리(지하),"595,986","623,493","355,270","361,398",2016-06-08 12:04:15
2016-05,1호선,0159,동묘앞,"182,742","200,502","148,019","148,534",2016-06-08 12:04:15
2016-05,2호선,0201,시청,"725,829","711,446","60,024","56,158",2016-06-08 12:04:15
2016-05,2호선,0202,을지로입구,"1,469,645","1,466,552","118,548","110,716",2016-06-08 12:04:15
2016-05,2호선,0203,을지로3가,"531,638","520,546","91,999","89,088",2016-06-08 12:04:15
2016-05,2호선,0204,을지로4가,"302,273","302,594","96,096","91,221",2016-06-08 12:04:15
2016-05,2호선,0205,동대문역사문화공원,"537,296","626,473","62,930","69,369",2016-06-08 12:04:15
2016-05,2호선,0206,신당,"371,330","391,241","109,937","112,155",2016-06-08 12:04:15
2016-05,2호선,0207,상왕십리,"282,665","264,680","61,365","62,349",2016-06-08 12:04:15
2016-05,2호선,0208,왕십리(성동구청),"609,024","511,954","61,693","52,603",2016-06-08 12:04:15
2016-05,2호선,0209,한양대,"422,353","508,266","17,695","19,165",2016-06-08 12:04:15
2016-05,2호선,0210,뚝섬,"450,113","478,027","68,418","68,846",2016-06-08 12:04:15
2016-05,2호선,0211,성수,"674,618","745,403","100,711","103,343",2016-06-08 12:04:15
2016-05,2호선,0212,건대입구,"1,391,664","1,528,643","98,470","103,274",2016-06-08 12:04:15
2016-05,2호선,0213,구의,"653,082","629,542","110,751","111,906",2016-06-08 12:04:15
2016-05,2호선,0214,강변,"1,452,038","1,447,984","155,554","153,480",2016-06-08 12:04:15
2016-05,2호선,0215,잠실나루,"483,390","462,570","91,485","92,676",2016-06-08 12:04:15
2016-05,2호선,0216,잠실,"2,418,059","2,236,226","216,381","201,339",2016-06-08 12:04:15
2016-05,2호선,0217,신천,"728,645","718,810","119,123","117,125",2016-06-08 12:04:15
2016-05,2호선,0218,종합운동장,"508,794","587,539","65,590","69,258",2016-06-08 12:04:15
2016-05,2호선,0219,삼성,"1,641,591","1,713,134","125,985","119,989",2016-06-08 12:04:15
2016-05,2호선,0220,선릉,"1,472,304","1,265,769","199,742","173,117",2016-06-08 12:04:15
2016-05,2호선,0221,역삼,"1,201,163","1,353,076","152,724","156,106",2016-06-08 12:04:15
2016-05,2호선,0222,강남,"2,778,369","2,835,923","163,489","146,996",2016-06-08 12:04:15
2016-05,2호선,0223,교대,"1,017,547","1,132,668","162,918","176,476",2016-06-08 12:04:15
