사용월,호선명,역ID,지하철역,유임승차,유임하차,무임승차,무임하차,작업일시
2019-08,1호선,0150,서울역,"1,507,352","1,421,506","221,439","219,533",2019-09-03 12:56:29
2019-08,1호선,0151,시청,"658,385","674,557","127,161","127,713",2019-09-03 12:56:29
2019-08,1호선,0152,종각,"1,161,269","1,132,416","168,187","156,128",2019-09-03 12:56:29
2019-08,1호선,0153,종로3가,"637,266","610,540","375,401","349,998",2019-09-03 12:56:29
2019-08,1호선,0154,종로5가,"504,035","517,198","277,363","266,205",2019-09-03 12:56:29
2019-08,1호선,0155,동대문,"296,597","338,306","131,467","136,020",2019-09-03 12:56:29
2019-08,1호선,0156,신설동,"345,143","339,328","120,626","115,032",2019-09-03 12:56:29
2019-08,1호선,0157,제기동,"268,193","259,146","332,498","353,671",2019-09-03 12:56:29
2019-08,1호선,0158,청량리(서울시립대입구),"418,859","433,044","324,271","332,377",2019-09-03 12:56:29
2019-08,1호선,0159,동묘앞,"168,709","179,960","140,683","142,918",2019-09-03 12:56:29
2019-08,2호선,0201,시청,"713,319","670,155","66,925","61,958",2019-09-03 12:56:29
2019-08,2호선,0202,을지로입구,"1,431,445","1,431,253","124,622","114,418",2019-09-03 12:56:29
2019-08,2호선,0203,을지로3가,"611,173","612,724","86,958","85,278",2019-09-03 12:56:29
2019-08,2호선,0204,을지로4가,"286,456","288,525","90,350","87,711",2019-09-03 12:56:29
2019-08,2호선,0205,동대문역사문화공원,"520,100","602,548","57,671","61,458",2019-09-03 12:56:29
2019-08,2호선,0206,신당,"338,943","350,575","101,519","103,707",2019-09-03 12:56:29
2019-08,2호선,0207,상왕십리,"360,881","341,438","68,912","68,927",2019-09-03 12:56:29
2019-08,2호선,0208,왕십리(성동구청),"513,266","431,984","59,922","50,534",2019-09-03 12:56:29
2019-08,2호선,0209,한양대,"220,245","239,227","13,806","14,639",2019-09-03 12:56:29
2019-08,2호선,0210,뚝섬,"506,726","543,537","61,955","62,399",2019-09-03 12:56:29
2019-08,2호선,0211,성수,"742,113","815,391","103,998","105,318",2019-09-03 12:56:29
2019-08,2호선,0212,건대입구,"1,210,659","1,352,243","95,287","99,257",2019-09-03 12:56:29
2019-08,2호선,0213,구의(광진구청),"611,071","580,097","107,870","108,723",2019-09-03 12:56:29
2019-08,2호선,0214,강변(동서울터미널),"1,232,046","1,228,106","144,967","143,117",2019-09-03 12:56:29
2019-08,2호선,0215,잠실나루,"379,207","367,478","86,618","87,354",2019-09-03 12:56:29
2019-08,2호선,0216,잠실(송파구청),"2,438,118","2,347,738","220,196","211,867",2019-09-03 12:56:29
2019-08,2호선,0217,잠실새내,"625,977","642,139","111,671","111,006",2019-09-03 12:56:29
2019-08,2호선,0218,종합운동장,"376,538","420,749","53,439","56,612",2019-09-03 12:56:29
2019-08,2호선,0219,삼성(무역센터),"1,708,053","1,747,484","128,261","120,761",2019-09-03 12:56:29
2019-08,2호선,0220,선릉,"1,404,626","1,252,157","219,307","192,472",2019-09-03 12:56:29
2019-08,2호선,0221,역삼,"1,256,240","1,421,597","162,492","165,018",2019-09-03 12:56:29
2019-08,2호선,0222,강남,"2,966,873","3,053,288","173,739","156,221",2019-09-03 12:56:29
2019-08,2호선,0223,교대(법원.검찰청),"914,614","1,031,867","158,220","176,694",2019-09-03 12:56:29
2019-08,2호선,0224,서초,"590,611","581,665","86,424","86,075",2019-09-03 12:56:29
2019-08,2호선,0225,방배,"458,108","473,218","78,493","77,787",2019-09-03 12:56:29
2019-08,2호선,0226,사당,"1,072,440","1,211,442","204,376","193,594",2019-09-03 12:56:29
2019-08,2호선,0227,낙성대,"774,723","730,418","112,063","114,173",2019-09-03 12:56:29
2019-08,2호선,0228,서울대입구(관악구청),"1,375,517","1,338,079","203,313","195,710",2019-09-03 12:56:29
2019-08,2호선,0229,봉천,"600,156","538,680","161,189","161,620",2019-09-03 12:56:29
2019-08,2호선,0230,신림,"1,861,535","1,791,840","246,353","250,093",2019-09-03 12:56:29
2019-08,2호선,0231,신대방,"725,020","682,290","133,909","135,042",2019-09-03 12:56:29
2019-08,2호선,0232,구로디지털단지,"1,685,529","1,685,739","183,741","186,914",2019-09-03 12:56:29
2019-08,2호선,0233,대림(구로구청),"737,695","761,365","116,303","120,647",2019-09-03 12:56:29
2019-08,2호선,0234,신도림,"1,513,809","1,513,670","222,246","210,662",2019-09-03 12:56:29
2019-08,2호선,0235,문래,"506,373","515,464","85,304","83,813",2019-09-03 12:56:29
2019-08,2호선,0236,영등포구청,"540,826","549,052","102,525","100,391",2019-09-03 12:56:29
2019-08,2호선,0237,당산,"589,143","646,708","69,699","74,407",2019-09-03 12:56:29
2019-08,2호선,0238,합정,"958,151","1,034,188","72,506","73,028",2019-09-03 12:56:29
2019-08,2호선,0239,홍대입구,"2,390,143","2,604,068","111,755","109,793",2019-09-03 12:56:29
2019-08,2호선,0240,신촌,"1,244,032","1,288,903","138,992","136,890",2019-09-03 12:56:29
2019-08,2호선,0241,이대,"491,702","519,101","54,817","55,303",2019-09-03 12:56:29
2019-08,2호선,0242,아현,"254,265","238,840","66,033","65,066",2019-09-03 12:56:29
2019-08,2호선,0243,충정로(경기대입구),"271,297","289,016","51,511","51,031",2019-09-03 12:56:29
2019-08,2호선,0244,용답,"60,138","58,976","17,717","16,961",2019-09-03 12:56:29
2019-08,2호선,0245,신답,"36,965","40,842","9,710","10,681",2019-09-03 12:56:29
2019-08,2호선,0246,신설동,"89,140","82,845","36,488","38,507",2019-09-03 12:56:29
2019-08,2호선,0247,도림천,"28,413","30,169","7,405","7,787",2019-09-03 12:56:29
2019-08,2호선,0248,양천구청,"159,577","167,967","46,249","47,771",2019-09-03 12:56:29
2019-08,2호선,0249,신정네거리,"223,619","231,575","71,191","73,408",2019-09-03 12:56:29
