,,,,,,,,,,,,,,,,,,,,,,,,,,,,
서울시 구별 일별 시간대별 교통사고 건수(2017년~2018년),,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
발생일,발생지_구,종로구,중구,용산구,성동구,동대문구,성북구,도봉구,은평구,서대문구,마포구,강서구,구로구,영등포구,동작구,관악구,강남구,강동구,송파구,서초구,양천구,중랑구,노원구,광진구,강북구,금천구,합계:,
,발생시간_분류,사고건수,사고건수,사고건수,사고건수,사고건수,사고건수,사고건수,사고건수,사고건수,사고건수,사고건수,사고건수,사고건수,사고건수,사고건수,사고건수,사고건수,사고건수,사고건수,사고건수,사고건수,사고건수,사고건수,사고건수,사고건수,사고건수,
20170502,06시-08시,,,,,1,,,,,,,,1,,,1,,1,2,,,1,,,,7,
20170502,08시-10시,1,2,,,,1,,,2,1,1,,,,,1,2,1,,,2,,,,1,15,
20170502,10시-12시,,2,,,,,,,,,,,1,,,,,,1,,,,1,1,,6,
20170502,12시-14시,1,,,,1,1,,,1,,1,,3,,,2,,1,,,,,,,,11,
20170502,14시-16시,2,1,2,,,,,,2,2,,,1,,,1,,1,,,1,1,,,,14,
20170502,16시-18시,,1,2,,1,,1,,,1,2,1,1,1,1,2,1,,,,1,,,1,,17,
20170502,18시-20시,,1,,1,,1,,,,,,1,1,,,,1,,,,3,,,1,,10,
20170502,20시-22시,,,2,,1,,,,,,,,,2,1,,,1,1,1,,1,,,,10,
20170502,22시-24시,,1,,,,2,,1,,,,,2,,,,,,,,2,,,,,8,
20170503,00시-02시,,,1,,,,,,,,,,1,,,3,,2,,1,,,,,1,9,
20170503,02시-04시,,,,,,1,,,,,1,,1,,,,1,,,1,,,,,,5,
20170503,04시-06시,1,,,,,,1,,,1,,,,,,1,,,,,1,1,,,,6,
20170503,06시-08시,,,,,,2,,1,,,,,,,,,,,1,,,1,1,,,6,
20170503,08시-10시,,1,1,,,,,,,,,,1,,,,,,1,1,,,,,,5,
20170503,10시-12시,,,,,,,,,,1,,1,1,,,2,,2,,,1,,,,,8,
20170503,12시-14시,,,,,,,1,,,,,,1,,1,,,1,1,,,1,1,,,7,
20170503,14시-16시,,,,1,1,1,,,1,1,,2,,,,1,1,,,,1,2,,,,12,
20170503,16시-18시,,,1,,,,,,,2,,,,1,,1,1,2,1,2,,,,,,11,
20170503,18시-20시,,,,,,,1,,,1,,1,2,,,,1,,,,,1,,1,,8,
20170503,20시-22시,,,,,1,,,,1,,1,1,1,,,,,,,,1,,1,,,7,
20170503,22시-24시,,,1,1,1,1,1,,1,,1,,,1,,,,1,,,,,1,,,10,
20170504,00시-02시,,,,1,,,,1,,,,1,,,,,,,,,,,,,,3,
20170504,02시-04시,1,1,,,,,,,,,,,,,,1,,,,,1,,,1,,5,
20170504,04시-06시,,,,,,,1,,1,,1,,,,,,,,,1,,,,,,4,
20170504,06시-08시,,,1,,,,,,,,,,1,1,,,,1,,,2,,2,,,8,
20170504,08시-10시,,,1,,,1,,1,,2,1,1,,,,,,1,2,,2,,,,,12,
20170504,10시-12시,1,,2,1,1,,,,1,2,,,,1,,,2,,,,,1,,,,12,
20170504,12시-14시,,,,,,1,,,,,1,,,,,,,1,1,,2,,1,,,7,
20170504,14시-16시,2,,,1,1,,,,,1,,,2,,,2,,1,1,2,1,,,,,14,
20170504,16시-18시,,,,1,,,1,1,,,,,1,1,,,3,,,,1,1,,,,10,
20170504,18시-20시,,,1,1,,1,,,,,1,1,1,3,1,2,,,,3,,1,,,,16,
20170504,20시-22시,,,,,1,,,,,,,1,,1,,1,,1,,,1,,,1,,7,
20170504,22시-24시,,,,,1,1,,,,1,,,,1,1,1,,4,,,,,,1,,11,
20170505,00시-02시,,,,,1,,,,1,,,,,,,2,,,1,,,,,,,5,
20170505,02시-04시,,,,,,,,,,1,,1,,,,,,,,,,1,,,,3,
20170505,04시-06시,,,,,,,,,,,,,1,,1,,,,,,,,1,,,3,
20170505,06시-08시,,,,,,,,,,,,,,,,,,,1,,,,,,,1,
20170505,08시-10시,,,,1,,,,,1,1,1,,,,,,,,1,,,,,1,,6,
20170505,10시-12시,,,,,1,,,,1,,,1,,,,,,,,1,,,,,1,5,
20170505,12시-14시,,,,,1,,,,,,1,,,,1,2,1,1,,,1,,,,1,9,
20170505,14시-16시,,2,,,,,1,,,,,,1,,,,,1,,,,,,,,5,
20170505,16시-18시,2,,1,,,,,,,,,,2,,,,,3,2,1,1,,,,,12,
20170505,18시-20시,,,,,,1,,,,,1,,,,,,1,,,,,,1,,,4,
20170505,20시-22시,,,,,1,,,,,1,,,1,1,,1,,,,2,,,1,1,,9,
20170505,22시-24시,,,1,,,,,1,,,,,2,,,,,1,1,,,,,,,6,
20170506,00시-02시,1,,,1,,1,1,,,,,,,,1,,,,,,1,,,,,6,
20170506,02시-04시,,,1,1,,,1,,,,,1,,,,,1,2,,,,,,,,7,
20170506,04시-06시,,,1,,,1,,,,,,,,,1,2,1,2,,,,,1,,,9,
20170506,06시-08시,,1,,,,1,,,,,,,,,3,1,,,,,,,,,,6,
20170506,08시-10시,1,,,,,,,,,,,,1,,,2,,,,1,,,,,,5,
20170506,10시-12시,1,,,,,,,1,1,,,,1,,1,,,,1,,,2,,,,8,
20170506,12시-14시,,,,,1,,,,,,1,,,,1,,,,,,,1,,,,4,
20170506,14시-16시,,,,,1,,1,1,,1,,1,1,1,,,1,,1,,,1,1,1,,12,
20170506,16시-18시,,,,,,1,,,,1,,,1,,,,1,3,,,,1,1,,,9,
20170506,18시-20시,,,,,,,,,,,,2,,1,,,,1,,,,1,,1,,6,
20170506,20시-22시,,,,,1,,,,,1,1,,,,1,,,,1,1,2,,1,,,9,
20170506,22시-24시,,,,1,,,,,,,,,,,,1,1,2,1,,,,1,1,,8,
20170507,00시-02시,,,,,1,,1,,,,,,,,,,,,,,,,1,1,,4,
20170507,02시-04시,,,,,,,,1,,,,1,,,,,,,,,,,,,,2,
20170507,04시-06시,,,,,,,,,,,,,,1,1,,,,,,1,,,1,,4,
20170507,06시-08시,,,,,,,,,,1,,,,,,,,,,,,,,,,1,
20170507,08시-10시,,,,,,1,,,,,,1,,,,2,,1,,,,1,,,,6,
20170507,10시-12시,,,1,1,1,1,1,,1,,,,,1,,1,,,1,,,1,,,,10,
20170507,12시-14시,,,,,,2,,,2,,1,,,,,,,1,,,1,,,,,7,
20170507,14시-16시,2,1,1,,,,,1,,,,,,,1,,,2,2,1,1,,,,,12,
20170507,16시-18시,,,,,,,,,,,,,1,,2,,1,,,,,1,1,,,6,
20170507,18시-20시,,,,,,,,,1,,,1,2,1,,,,,,2,,,,,,7,
20170507,20시-22시,,,,,,,1,,,1,,1,1,,,1,,1,,1,,1,,1,1,10,
20170507,22시-24시,,,,,,,1,,,,1,,,,,,1,3,,1,,,,,,7,
20170508,00시-02시,,,,,,,,,,,,,,,,2,,,,,1,,1,,,4,
20170508,02시-04시,,,,,,,,,,,,,,,,1,,,,,,,,,,1,
20170508,04시-06시,,,,,,,,,,,,,,,,,,,,,1,,,,,1,
20170508,06시-08시,,,,,,,,,,,,,1,,,2,,,1,,,,1,,,5,
20170508,08시-10시,,2,1,,,1,,1,2,1,1,,,,1,,,,1,,2,,2,,,15,
20170508,10시-12시,1,,,,,,1,,1,1,1,,,,1,,1,,,,2,,,,1,10,
20170508,12시-14시,,,1,,1,,,,,,,,,,,,1,1,,,1,,,,,5,
20170508,14시-16시,1,1,1,,2,,,,2,2,1,2,,,,2,,,2,,1,1,,,,18,
20170508,16시-18시,1,,,,,1,,,2,1,1,,,,,1,3,2,,2,,,1,,,15,
20170508,18시-20시,,1,2,,1,3,,,1,,,1,2,,1,3,,,,,,1,,,,16,
20170508,20시-22시,2,,,,2,1,,,1,1,,,,,,2,2,1,,1,1,,,,,14,
20170508,22시-24시,,,,,1,1,1,,,,,,1,,1,2,,,,2,,,,1,,10,
20170509,00시-02시,,,,,,,,1,,1,1,,,2,2,,,,,,1,1,,,,9,
20170509,02시-04시,,1,,,,,,,,,,,,1,,,1,,,,,,,,,3,
20170509,04시-06시,,,,,,,,,,,,,,,,,1,,,,,,,,,1,
20170509,06시-08시,,1,,,,,,,,,,,,,1,,1,,1,1,,,,,,5,
20170509,08시-10시,,,,,,1,,,,,,,,,1,1,,,,,,,,,,3,
20170509,10시-12시,,,,,,,,1,,1,,1,,,1,2,,,,,1,,,,,7,
20170509,12시-14시,,1,,,1,2,,,1,1,,,1,1,,,,,,,1,1,1,,1,12,
20170509,14시-16시,,,,,,,,,1,1,,,,1,2,1,,,2,,,1,,,,9,
20170509,16시-18시,1,,1,,1,,1,,,,,,,,,1,1,,1,1,,1,,1,,10,
20170509,18시-20시,,,,,,,,,1,,,,2,,,,,1,1,1,1,,,1,,8,
20170509,20시-22시,,,1,,1,,,,1,,1,,1,1,,,,,1,1,1,,,1,1,11,
20170509,22시-24시,,,1,,,1,1,,,,,,1,,,,,,,,1,,,,1,6,
20170510,00시-02시,1,,,,,,,1,,1,,,1,,,1,,,,1,,,,,,6,
20170510,02시-04시,1,,,,,,,,,,,,,,,,,,,,,,,,,1,
20170510,04시-06시,,,,1,,,,,,,,,2,,1,1,,,1,,,,,,,6,
20170510,06시-08시,,,,,1,,,,,,,,,,,,2,,,1,,,1,,,5,
20170510,08시-10시,,1,1,,,2,1,,,,,1,1,,2,2,,,,,1,1,,,2,15,
20170510,10시-12시,1,2,,,,1,,,,,,,1,1,,,,,,,3,,,,,9,
20170510,12시-14시,1,,,,2,,,1,,,,,,,,,1,1,,,,,,,,6,
20170510,14시-16시,,,,,,1,,,,,,1,1,,,,,1,,,,1,1,1,,7,
20170510,16시-18시,,1,,,,,,,,1,1,,,,2,,1,,1,,,,1,1,,9,
20170510,18시-20시,,,2,,,1,2,,,,,1,1,,2,1,,,,,1,1,1,,,13,
20170510,20시-22시,1,2,,,,,,1,,,1,,1,,,1,,1,1,,1,,,,,10,
20170510,22시-24시,2,,1,,1,,1,1,,1,,,1,,,1,,,,1,,,,,,10,
20170511,00시-02시,,,,,,,,,,1,,,1,,,,,,1,,1,1,,1,,6,
20170511,02시-04시,1,,1,,,,,,,,,,,,,,,,,,,,,,,2,
20170511,04시-06시,2,,,,1,2,,,,1,,,1,,,,,,,,1,,,,,8,
20170511,06시-08시,,,,,,,,,,,1,,1,,,,,2,,,,,1,,,5,
20170511,08시-10시,1,,,1,,,1,,,,,1,1,,,1,,2,,,,2,,,,10,
20170511,10시-12시,,,1,,,,,,,,1,1,1,,,1,1,,2,,,,,1,,9,
20170511,12시-14시,1,,1,,,,,,,,,,,,,2,1,,,,,,,,,5,
20170511,14시-16시,,,1,1,,,,,,,1,,,,1,1,,,,1,,,,1,,7,
20170511,16시-18시,,,,,,,2,,1,1,2,,1,2,,,,,,,1,,,,,10,
20170511,18시-20시,,1,,,,1,1,,2,,1,,,,,1,1,1,,,1,1,,,,11,
20170511,20시-22시,1,,,,,1,,,,1,,,1,,,1,,,,1,,,,,2,8,
20170511,22시-24시,,,,,1,,,,,2,,,,4,1,3,1,2,3,,,,,1,,18,
20170512,00시-02시,2,,,,,,1,1,1,2,,,2,1,,1,,1,,,,,,,1,13,
20170512,02시-04시,,,,,,,,,,,,,,1,,,,,,,1,,,,,2,
20170512,04시-06시,,,,,,,,,,,,1,,,,,,,,,,,,,,1,
20170512,06시-08시,1,,,,,,1,,,,1,,,,,,,,1,,,,,1,,5,
20170512,08시-10시,1,1,,1,,1,,,,,,,,,1,,,1,1,1,,,1,,1,10,
20170512,10시-12시,,,,,,,,1,,,,,1,,,,1,1,1,,,,,,,5,
20170512,12시-14시,1,,,,,,,1,,,,,,,,3,,2,,1,,,,,,8,
20170512,14시-16시,,,2,,1,1,1,,1,2,1,,,,,,1,1,2,,,,1,,1,15,
20170512,16시-18시,2,,,,,,,,,,1,,,,,1,,,,,,,2,,,6,
20170512,18시-20시,,1,1,1,,,1,,,1,,,1,,,,1,,,,,1,1,,,9,
20170512,20시-22시,,,1,,,1,,,,,,1,2,,1,4,,1,,,1,,,,,12,
20170512,22시-24시,,1,1,1,,1,,,,,,,,,,3,,,1,,,,,,,8,
20170513,00시-02시,1,,,2,1,,,,,,1,,,,2,1,,,1,,,,,,,9,
20170513,02시-04시,,1,,,,1,1,,,,,,,,,,,1,,2,,2,,,1,9,
20170513,04시-06시,,,,,,,,,,,,1,,,,,,,1,,1,,,,,3,
20170513,06시-08시,,,,,,,,,,1,,,,,,1,,1,,,,,1,,,4,
20170513,08시-10시,,,1,,,2,,,,,,,1,,,1,,1,2,,,,,1,,9,
20170513,10시-12시,,1,,1,1,,,,,,,,,,,,,2,2,1,,,1,,,9,
20170513,12시-14시,1,,,,,,,,,,,1,3,,1,1,1,,1,1,2,,1,,,13,
20170513,14시-16시,1,1,2,,,1,,,,1,1,1,,,1,,,2,1,1,1,,,,1,15,
20170513,16시-18시,,,1,,,,,1,,,3,3,,1,1,1,1,2,3,2,1,1,,1,,22,
20170513,18시-20시,,,,,,,,1,,1,,1,,,,,,2,1,,3,,,,,9,
20170513,20시-22시,1,,,,1,,1,,,1,,,,,,1,,2,,,1,1,,,,9,
20170513,22시-24시,1,1,,,,,,1,,2,1,,,1,,,1,,,,1,,,1,,10,
20170514,00시-02시,,,1,,1,,,1,,1,,,,,1,,,,,,1,,,,1,7,
20170514,02시-04시,,,,,1,,,,,,,,,,,,,,,,1,,,,,2,
20170514,04시-06시,,,,,,,1,,,,,,,,,1,,,,1,,1,,,1,5,
20170514,06시-08시,,,,,,,,,,,,,1,1,,,,1,,1,,,1,,,5,
20170514,08시-10시,,,1,,,,,,,,,,1,,1,,,,,,,,,1,,4,
20170514,10시-12시,,,,,1,,,,,,1,1,,1,,,2,,1,,,2,1,,,10,
20170514,12시-14시,1,,,,,,1,,1,,1,,,,1,,,1,,,1,,,,1,8,
20170514,14시-16시,,,1,,,,,1,,,,,2,,1,2,1,2,,1,,,,,,11,
20170514,16시-18시,1,1,2,,,,,1,,1,,,1,,1,1,,1,,,,,1,,,11,
20170514,18시-20시,,,,,,,,1,,1,,1,,,1,,,,1,,1,,,,1,7,
20170514,20시-22시,,,,,2,1,,,,,,,,,,,,,,,1,1,,,1,6,
20170514,22시-24시,,,,,,,,1,,,,,,1,1,,1,,1,,,1,,,,6,
20170515,00시-02시,,,,,,1,,1,,,,,,,2,,,1,,,1,,,1,,7,
20170515,02시-04시,2,,,,,,,,,,,,,1,,,,,,,,,,,,3,
20170515,06시-08시,,,,,,,,,,,,,1,,,,2,,1,,,,,,,4,
20170515,08시-10시,,,1,,,,,,2,2,,1,1,,,1,1,,,,,1,,,1,11,
20170515,10시-12시,,,,,,1,,1,,,,1,,,,1,,1,,2,,,,1,,8,
20170515,12시-14시,1,,1,,1,,,,1,,1,,,,1,2,,,1,,2,,1,,,12,
20170515,14시-16시,1,,,,1,,2,,,1,1,,,,,,,1,1,1,1,,,,,10,
20170515,16시-18시,,1,,,,,2,,1,,1,1,1,1,,,,,3,,,,,,,11,
20170515,18시-20시,1,,,,,,1,,,,1,,2,,,1,,,1,,,,,1,,8,
20170515,20시-22시,1,,,1,,,,,,1,,1,1,,,1,1,1,,,,,,,,8,
20170515,22시-24시,1,,2,2,,,,,1,1,,,1,,,1,1,,1,,1,1,,,,13,
20170516,00시-02시,1,1,,,,,,,,,,,1,,1,,,2,1,,,,,1,,8,
20170516,02시-04시,,,,,,,,1,,,,,,,,,,1,,,,,,,1,3,
20170516,04시-06시,,,,,1,,,,,,,,,,1,,,,,,,,,,,2,
20170516,06시-08시,,,,,,,,,1,,,,,,1,,,,,,1,,,,,3,
20170516,08시-10시,,1,1,,,,,1,,4,,,1,,,1,,2,,,,,2,,,13,
20170516,10시-12시,,,,,,,1,,,2,2,1,,,1,1,,,,,1,,1,,1,11,
20170516,12시-14시,,,2,,,,,,1,,,2,,1,,,,,1,,,,1,1,1,10,
20170516,14시-16시,1,,,,1,,,,,,,,1,,,1,2,1,,,,1,1,1,,10,
20170516,16시-18시,,,1,,,1,1,,,,1,,1,,,2,1,,1,,2,2,,1,,14,
20170516,18시-20시,1,1,1,,,1,,1,,,,1,1,,1,1,1,1,,,1,,,1,,13,
20170516,20시-22시,,,,,,,,1,,,,,,1,2,1,,1,,,,1,,,,7,
20170516,22시-24시,,,,1,1,1,,,,,,,,1,,2,,1,,1,1,,,,,9,
20170517,00시-02시,2,,,,,,,,1,,,,1,,,,,,1,,,,1,,,6,
20170517,02시-04시,,1,,,,,,,,,,,,,,,,1,,,,,,,,2,
20170517,04시-06시,,,,,,1,,,,,1,,,,,,1,,,,,,,,1,4,
20170517,06시-08시,,,,,,,,,,1,,1,,1,,,,1,,1,,,,,,5,
20170517,08시-10시,1,1,,,1,2,,1,,1,,,1,,,,1,2,2,1,2,1,,1,,18,
20170517,10시-12시,1,,,,1,,,,,,,,,,,,,,3,,,,,,,5,
20170517,12시-14시,,,,,,,,,1,1,1,,1,,,1,,,,,,,,,,5,
20170517,14시-16시,1,,,,1,,,,1,1,,,2,,,3,,2,1,,,1,,,,13,
20170517,16시-18시,,,,,,1,,,,2,,1,2,1,,2,2,1,,1,,,,,,13,
20170517,18시-20시,,1,,,,,1,,1,1,1,,1,1,,1,1,,,3,2,,1,1,1,17,
20170517,20시-22시,,,,1,,2,2,1,,,,,,,,,,,,,1,,,,,7,
20170517,22시-24시,1,,,,,1,,,1,1,1,,,,,2,1,,,,,1,,1,,10,
20170518,00시-02시,,,,,,,,1,,1,,,1,,,,1,,1,,,1,,,,6,
20170518,02시-04시,,,,,,1,,1,,1,,,,,1,1,,,,,,1,,,,6,
20170518,04시-06시,,1,,,,,,,,,,1,,,,1,,,,,,,,,,3,
20170518,06시-08시,,2,,,,,,,,,,,,1,,,,,,2,1,3,1,,,10,
20170518,08시-10시,,,,,2,,,,1,1,,,1,1,1,,1,,,,1,1,,1,1,12,
20170518,10시-12시,1,1,,,,1,,,2,1,1,,,,,1,1,,1,,1,,1,,,12,
20170518,12시-14시,,,,1,,,,,,,1,1,,1,,1,,,,,,,1,,,6,
20170518,14시-16시,,,,1,1,,,,,1,1,,,,,3,1,1,4,,,,1,,1,15,
20170518,16시-18시,1,2,,,1,,1,,,1,,,1,,1,,,2,1,,,2,,,,13,
20170518,18시-20시,1,2,,1,,2,,,,,1,2,1,1,,1,,1,1,,1,1,,,,16,
20170518,20시-22시,1,,,,1,,,1,,,,2,1,1,,2,,2,,,2,,,,,13,
20170518,22시-24시,,1,,,,,,1,1,1,,2,2,1,1,1,,,,1,,1,,,,13,
20170519,00시-02시,1,,,1,1,1,,,,1,,,,,,,,,1,,,,,,1,7,
20170519,02시-04시,,,,,,,,,,1,,,,,1,,1,1,,,,,,,,4,
20170519,04시-06시,,,,,,,,,,,,,1,,,,,,,,,,,,,1,
20170519,06시-08시,1,,,,,,1,,,,,,,,,,,,1,1,,,,,1,5,
20170519,08시-10시,,,1,,2,,1,,,2,,,2,,,1,1,1,,2,1,1,,,,15,
20170519,10시-12시,,,,,,,1,,,3,1,,,,,2,,1,,,,1,2,,,11,
20170519,12시-14시,,,,,,,,2,2,,,1,1,,,,,2,2,1,,,,,,11,
20170519,14시-16시,,,1,,,,1,,,,1,,,,1,4,,,1,,1,1,1,1,,13,
20170519,16시-18시,1,1,,1,,1,,,,1,4,,2,1,,2,,,1,,1,1,,1,1,19,
20170519,18시-20시,1,,,,,,1,,,,,,,1,,,,1,2,,2,,1,,,9,
20170519,20시-22시,,2,,1,1,1,,1,,3,1,1,2,,1,,,3,2,1,1,2,1,,,24,
20170519,22시-24시,,,1,2,1,1,,1,,,,,1,,,2,,1,,,,2,,,,12,
20170520,00시-02시,,,2,1,,1,,,,,1,,1,,,3,,1,,1,,3,,1,,15,
20170520,02시-04시,,,1,,,,,,,1,,1,,,,,1,1,,,,,1,,,6,
20170520,04시-06시,,1,,,,,,,,,,,1,,1,,,,1,,,1,,,,5,
20170520,06시-08시,,,,,1,,,,,,1,,1,1,,2,,,,,1,,,,,7,
20170520,08시-10시,1,,,3,,,,,,1,,,,,,,1,,,,,,,,,6,
20170520,10시-12시,1,,,1,,1,,1,,,1,,,,,1,,,1,,1,1,,1,,10,
20170520,12시-14시,1,,1,,1,1,,,,1,,2,,,,2,,1,,1,,,,,,11,
20170520,14시-16시,1,1,1,1,,1,,,,1,,1,,1,1,2,2,,1,,,1,1,,,16,
20170520,16시-18시,,,1,,1,,2,1,,,1,3,,,1,1,,1,1,1,,1,1,1,,17,
20170520,18시-20시,,,2,,1,,,1,,,,1,1,,,1,1,2,,,1,1,1,,,13,
20170520,20시-22시,,,,1,1,1,,,,1,,,2,1,,,,,1,,1,,,,,9,
20170520,22시-24시,,1,,,,,,1,,,,,,,,,2,2,1,1,,2,1,,,11,
20170521,00시-02시,,,1,,,,1,,,,1,,,1,,3,,,,,1,,,1,,9,
20170521,02시-04시,,,1,1,,,,,,,1,,2,,,,,,,,1,,2,,,8,
20170521,04시-06시,1,,,,,,,,,,1,2,,1,,,,,1,,,,,,,6,
20170521,06시-08시,,,2,1,,,,,,,,,,,,,1,,,1,1,,1,1,,8,
20170521,08시-10시,1,,,2,1,,,,,,1,,,,,,,,1,1,,,,,,7,
20170521,10시-12시,1,,1,,,1,,,,,,1,,2,,2,,1,1,,,,,,,10,
20170521,12시-14시,,1,,,1,1,,,,,1,,1,1,,,,1,1,2,,2,,2,1,15,
20170521,14시-16시,,,1,1,,1,,,1,,,,1,,,1,1,1,,,2,1,,,1,12,
20170521,16시-18시,2,1,,,,1,,,,1,1,,,,,1,1,,,,,,,1,,9,
20170521,18시-20시,,,1,,1,,1,,,,,,1,1,,,,2,,1,3,1,,,,12,
20170521,20시-22시,,,1,1,1,1,1,,,,,,1,,1,,,1,1,,2,1,,,,12,
20170521,22시-24시,,,,,,1,,1,,,,,,,,1,,,1,,2,,,1,,7,
20170522,00시-02시,,,,,,,,,,1,,,,,,,1,,,,,,,,,2,
20170522,04시-06시,,,,,,,,,,,,1,,,,,,,,1,,,,,,2,
20170522,06시-08시,,1,1,1,,,1,1,,,,,2,,,,,1,,2,,2,,1,,13,
20170522,08시-10시,,,,,1,,,,,1,1,3,,,,1,,2,,,3,,,,,12,
20170522,10시-12시,,,,,,,,,,,,2,,,,,,1,,,,1,,1,1,6,
20170522,12시-14시,1,1,1,,,,1,1,,2,,,,,,3,1,1,1,1,,,,1,,15,
20170522,14시-16시,,,,2,1,,1,2,1,,1,1,1,,,3,,,,,2,1,,1,,17,
20170522,16시-18시,,1,,1,1,,1,1,,3,,,,,,1,,,3,1,,1,1,1,,16,
20170522,18시-20시,1,1,,,,1,1,,,,1,1,3,,,,1,2,1,,,1,,1,,15,
20170522,20시-22시,,,,,1,,,,1,,,,1,,,2,2,,,,,,1,,,8,
20170522,22시-24시,,,,1,,,,,,,,,1,,1,1,,,,,,,,1,,5,
20170523,00시-02시,,,1,,2,,,,,1,,,1,,1,,,,1,,1,,,,,8,
20170523,02시-04시,,,,,,2,,,,,,,,,,1,,,,,,,,2,,5,
20170523,04시-06시,,,,,,,,,,,,1,,1,1,3,,,,,,,,,,6,
20170523,06시-08시,,,1,,2,,,,,1,,,1,,,,,,1,,1,1,1,,1,10,
20170523,08시-10시,,2,,3,,2,,1,,2,1,,1,,,,,,,2,,,3,,1,18,
20170523,10시-12시,1,,2,,,,,1,,,,,,,,3,,4,,,,1,,,,12,
20170523,12시-14시,,2,1,1,1,,,,,,,1,,,,,,,,,,,,,,6,
20170523,14시-16시,,,1,,,1,,,2,1,,,,,,1,,,3,,,,1,,1,11,
20170523,16시-18시,,,1,2,,1,,,1,1,,,,,1,1,1,,,,1,1,,1,,12,
20170523,18시-20시,2,,1,,1,1,,1,1,1,,,1,1,1,3,,1,2,1,,1,,1,,20,
20170523,20시-22시,,1,,,1,,1,1,,1,2,1,1,,,1,2,1,,1,2,,1,,,17,
20170523,22시-24시,2,,,,1,,,,,,,1,,,,1,1,2,1,,,,,,,9,
20170524,00시-02시,,1,,,1,,,,,2,,,1,,1,3,,2,1,1,,2,,,,15,
20170524,02시-04시,,1,1,,,,,1,,,,,1,,,,,,,,,2,,,,6,
20170524,04시-06시,,,,1,,,,,,,1,,2,,,2,,,,1,,1,,,1,9,
20170524,06시-08시,,1,,,,,,,,,,,,1,,1,,,1,,1,,,,,5,
20170524,08시-10시,1,,,,,,,1,,,,,,,,1,,1,3,,1,,,1,,9,
20170524,10시-12시,2,,,,,,,,,,,1,,,,1,,1,2,,,,,,,7,
20170524,12시-14시,1,1,,1,,,,,1,,1,,,2,2,1,1,2,,,,2,,,,15,
20170524,14시-16시,,1,,,1,,,,,,1,,,,,1,,1,1,,1,,,,1,8,
20170524,16시-18시,,1,1,,,1,2,,,1,,1,,,,1,2,1,2,,,1,,1,,15,
20170524,18시-20시,,,1,1,1,1,1,,1,,1,2,1,,1,1,1,,2,,,,,1,1,17,
20170524,20시-22시,,1,,,,,,,,2,2,,,,1,1,,,1,,,1,,,,9,
20170524,22시-24시,,,,1,1,,,1,,,,1,1,,,1,,2,,,,1,1,,,10,
20170525,00시-02시,,1,,,,,,1,,,1,,,,1,,,1,2,,1,1,1,1,,11,
20170525,02시-04시,,,1,,,,,,,,,,,,,,,,,,,,,,,1,
20170525,04시-06시,,,1,,,,,,,,,,1,,,,,,,,,1,,,,3,
20170525,06시-08시,,,,,,,,,,,,,,,1,,1,,,1,,,,,,3,
20170525,08시-10시,1,,,,1,,,,1,1,,1,1,,,1,,,1,1,,1,,,,10,
20170525,10시-12시,,,,,,,,1,,1,,1,,1,,1,,1,,,,1,,,1,8,
20170525,12시-14시,,1,,,1,,,,,1,,,,,1,1,,1,2,,,,,,,8,
20170525,14시-16시,,2,1,,1,,1,,,,1,,1,,,,,,2,,,,1,,1,11,
20170525,16시-18시,,,,1,,,2,4,1,1,,,3,,2,3,,1,1,,,,,,,19,
20170525,18시-20시,1,,,,,,,,,,1,,1,,1,1,,2,1,,1,,2,,,11,
20170525,20시-22시,,,,,1,,,1,,,,1,1,,,,,,,,,,,,1,5,
20170525,22시-24시,1,,,,,,,,,,,,1,1,,2,,2,,,,,3,1,,11,
20170526,00시-02시,,1,,1,,,,,1,2,,,2,,,1,1,1,1,,,,1,,,12,
20170526,02시-04시,,,,,,,,1,,,,,,,,,,1,,,,,1,,,3,
20170526,04시-06시,,,,,,,,,,,,,,1,,1,,,,,1,,,,,3,
20170526,06시-08시,,,,,1,1,,,,,,,1,,,2,,,,1,,,,,1,7,
20170526,08시-10시,1,1,,1,,,2,,,1,1,1,,,,,1,,,,,3,2,1,,15,
20170526,10시-12시,,,1,,1,1,,1,1,1,2,,,,,2,1,,3,,1,,,,1,16,
20170526,12시-14시,,,,,1,2,,1,,,,,,,,,,1,4,1,1,,1,,,12,
20170526,14시-16시,,,,,,,,1,,,2,,,,,,,,1,1,1,,,,,6,
20170526,16시-18시,2,1,1,,,2,,,1,,1,,2,,,1,1,,,3,1,,,,1,17,
20170526,18시-20시,,,1,,,2,,,3,1,,,1,1,1,2,,1,1,,2,1,,,,17,
20170526,20시-22시,,1,,,,,,1,1,1,,,3,,,2,,3,1,,1,2,,,,16,
20170526,22시-24시,,1,,,2,,,,,1,1,1,1,,1,2,,,2,1,2,,,,1,16,
20170527,00시-02시,,1,,,,,,,,2,,,1,,,1,1,1,1,,1,,,,,9,
20170527,02시-04시,,1,1,,,,,1,,,1,1,,,,1,,1,1,,,,,1,,9,
20170527,04시-06시,,,,,,,,,1,,,,,,,1,,1,2,,,,,,,5,
20170527,06시-08시,1,,,,,1,,1,2,,,,,,,,1,1,,,1,,,,1,9,
20170527,08시-10시,,1,1,,,,,,1,,,,,1,,3,1,2,1,,,,,,1,12,
20170527,10시-12시,,,1,2,1,,,1,,1,1,1,1,,,1,,,2,,1,,,,,13,
