사용월,호선명,역ID,지하철역,유임승차,유임하차,무임승차,무임하차,작업일시
2017-10,1호선,0150,서울역,"1,369,481","1,323,802","210,117","208,176",2017-11-03 13:18:14
2017-10,1호선,0151,시청,"613,320","623,474","105,529","105,878",2017-11-03 13:18:14
2017-10,1호선,0152,종각,"1,074,643","1,009,041","148,607","137,257",2017-11-03 13:18:14
2017-10,1호선,0153,종로3가,"653,518","596,141","369,532","343,528",2017-11-03 13:18:14
2017-10,1호선,0154,종로5가,"486,810","494,056","256,719","246,382",2017-11-03 13:18:14
2017-10,1호선,0155,동대문,"350,143","414,358","134,384","141,271",2017-11-03 13:18:14
2017-10,1호선,0156,신설동,"334,833","324,731","119,500","114,699",2017-11-03 13:18:14
2017-10,1호선,0157,제기동,"270,014","263,865","307,409","326,638",2017-11-03 13:18:14
2017-10,1호선,0158,청량리(서울시립대입구),"487,736","509,278","326,341","332,152",2017-11-03 13:18:14
2017-10,1호선,0159,동묘앞,"182,618","199,473","152,946","156,287",2017-11-03 13:18:14
2017-10,2호선,0201,시청,"590,348","569,032","57,661","54,419",2017-11-03 13:18:14
2017-10,2호선,0202,을지로입구,"1,231,739","1,218,203","105,783","96,822",2017-11-03 13:18:14
2017-10,2호선,0203,을지로3가,"458,163","452,839","80,869","79,798",2017-11-03 13:18:14
2017-10,2호선,0204,을지로4가,"248,770","244,535","83,310","78,187",2017-11-03 13:18:14
2017-10,2호선,0205,동대문역사문화공원,"486,327","563,707","55,863","60,542",2017-11-03 13:18:14
2017-10,2호선,0206,신당,"330,643","346,970","100,539","102,398",2017-11-03 13:18:14
2017-10,2호선,0207,상왕십리,"310,417","290,846","62,778","63,436",2017-11-03 13:18:14
2017-10,2호선,0208,왕십리(성동구청),"503,666","402,873","56,137","47,034",2017-11-03 13:18:14
2017-10,2호선,0209,한양대,"322,909","377,348","15,805","17,251",2017-11-03 13:18:14
2017-10,2호선,0210,뚝섬,"399,852","423,024","61,219","61,269",2017-11-03 13:18:14
2017-10,2호선,0211,성수,"607,008","668,700","91,717","93,808",2017-11-03 13:18:14
2017-10,2호선,0212,건대입구,"1,187,698","1,303,593","92,297","95,337",2017-11-03 13:18:14
2017-10,2호선,0213,구의(광진구청),"549,919","525,275","98,392","99,945",2017-11-03 13:18:14
2017-10,2호선,0214,강변(동서울터미널),"1,287,217","1,280,231","149,369","147,514",2017-11-03 13:18:14
2017-10,2호선,0215,잠실나루,"395,611","378,592","83,785","84,676",2017-11-03 13:18:14
2017-10,2호선,0216,잠실(송파구청),"2,369,214","2,219,793","220,480","203,112",2017-11-03 13:18:14
2017-10,2호선,0217,잠실새내,"613,214","620,113","109,582","107,243",2017-11-03 13:18:14
2017-10,2호선,0218,종합운동장,"364,843","418,920","56,696","61,733",2017-11-03 13:18:14
2017-10,2호선,0219,삼성(무역센터),"1,333,471","1,388,444","109,615","103,301",2017-11-03 13:18:14
2017-10,2호선,0220,선릉,"1,184,701","1,019,339","177,072","153,431",2017-11-03 13:18:14
2017-10,2호선,0221,역삼,"992,801","1,111,244","129,698","133,100",2017-11-03 13:18:14
2017-10,2호선,0222,강남,"2,458,591","2,513,395","148,027","132,932",2017-11-03 13:18:14
2017-10,2호선,0223,교대(법원.검찰청),"800,024","901,471","144,014","160,734",2017-11-03 13:18:14
2017-10,2호선,0224,서초,"528,158","528,874","77,182","77,902",2017-11-03 13:18:14
2017-10,2호선,0225,방배,"493,660","503,856","75,235","74,926",2017-11-03 13:18:14
2017-10,2호선,0226,사당,"961,353","1,165,269","184,317","178,229",2017-11-03 13:18:14
2017-10,2호선,0227,낙성대,"733,742","695,933","106,008","106,707",2017-11-03 13:18:14
2017-10,2호선,0228,서울대입구(관악구청),"1,265,634","1,242,244","195,354","189,596",2017-11-03 13:18:14
2017-10,2호선,0229,봉천,"515,842","455,807","139,105","138,797",2017-11-03 13:18:14
2017-10,2호선,0230,신림,"1,743,848","1,689,962","229,193","233,307",2017-11-03 13:18:14
2017-10,2호선,0231,신대방,"696,319","646,592","130,463","131,416",2017-11-03 13:18:14
2017-10,2호선,0232,구로디지털단지,"1,559,931","1,552,517","158,450","160,304",2017-11-03 13:18:14
2017-10,2호선,0233,대림(구로구청),"767,474","791,173","110,595","114,587",2017-11-03 13:18:14
2017-10,2호선,0234,신도림,"1,514,672","1,530,400","193,840","186,606",2017-11-03 13:18:14
2017-10,2호선,0235,문래,"434,392","443,561","76,044","75,998",2017-11-03 13:18:14
