사용월,호선명,역ID,지하철역,유임승차,유임하차,무임승차,무임하차,작업일시
15-Apr,1호선,156,신설동,"405,736","405,736","397,490","397,490",2015-05-14 17:56
15-Apr,1호선,151,시청,"661,468","661,468","667,648","667,648",2015-05-14 17:56
15-Apr,1호선,154,종로5가,"574,108","574,108","584,534","584,534",2015-05-14 17:56
15-Apr,1호선,158,청량리(지하),"596,596","596,596","623,362","623,362",2015-05-14 17:56
15-Apr,1호선,155,동대문,"361,972","361,972","422,268","422,268",2015-05-14 17:56
15-Apr,1호선,153,종로3가,"760,938","760,938","690,626","690,626",2015-05-14 17:56
15-Apr,1호선,157,제기동,"297,007","297,007","295,731","295,731",2015-05-14 17:56
15-Apr,1호선,150,서울역,"1,676,648","1,676,648","1,520,709","1,520,709",2015-05-14 17:56
15-Apr,1호선,159,동묘앞,"167,983","167,983","186,859","186,859",2015-05-14 17:56
15-Apr,1호선,152,종각,"1,254,011","1,254,011","1,172,311","1,172,311",2015-05-14 17:56
15-Apr,2호선,205,동대문역사문화공원,"496,214","496,214","575,847","575,847",2015-05-14 17:56
15-Apr,2호선,247,도림천,"25,019","25,019","29,351","29,351",2015-05-14 17:56
15-Apr,2호선,237,당산,"675,943","675,943","738,293","738,293",2015-05-14 17:56
15-Apr,2호선,236,영등포구청,"562,472","562,472","567,191","567,191",2015-05-14 17:56
15-Apr,2호선,209,한양대,"415,550","415,550","492,943","492,943",2015-05-14 17:56
15-Apr,2호선,215,잠실나루,"482,560","482,560","461,222","461,222",2015-05-14 17:56
15-Apr,2호선,225,방배,"619,659","619,659","629,908","629,908",2015-05-14 17:56
15-Apr,2호선,214,강변,"1,425,513","1,425,513","1,407,363","1,407,363",2015-05-14 17:56
15-Apr,2호선,201,시청,"717,817","717,817","703,710","703,710",2015-05-14 17:56
15-Apr,2호선,227,낙성대,"846,594","846,594","812,722","812,722",2015-05-14 17:56
15-Apr,2호선,204,을지로4가,"298,598","298,598","298,729","298,729",2015-05-14 17:56
15-Apr,2호선,245,신답,"31,194","31,194","36,498","36,498",2015-05-14 17:56
15-Apr,2호선,248,양천구청,"184,073","184,073","196,271","196,271",2015-05-14 17:56
15-Apr,2호선,226,사당,"1,202,443","1,202,443","1,367,282","1,367,282",2015-05-14 17:56
15-Apr,2호선,231,신대방,"712,355","712,355","676,757","676,757",2015-05-14 17:56
15-Apr,2호선,219,삼성,"1,708,784","1,708,784","1,780,402","1,780,402",2015-05-14 17:56
15-Apr,2호선,224,서초,"628,940","628,940","636,547","636,547",2015-05-14 17:56
15-Apr,2호선,249,신정네거리,"275,492","275,492","269,665","269,665",2015-05-14 17:56
15-Apr,2호선,229,봉천,"594,057","594,057","535,138","535,138",2015-05-14 17:56
15-Apr,2호선,234,신도림,"1,852,924","1,852,924","1,847,980","1,847,980",2015-05-14 17:56
15-Apr,2호선,208,왕십리(성동구청),"589,784","589,784","485,553","485,553",2015-05-14 17:56
15-Apr,2호선,244,용답,"62,427","62,427","64,964","64,964",2015-05-14 17:56
15-Apr,2호선,206,신당,"354,822","354,822","374,640","374,640",2015-05-14 17:56
15-Apr,2호선,217,신천,"715,371","715,371","691,670","691,670",2015-05-14 17:56
15-Apr,2호선,235,문래,"510,970","510,970","518,271","518,271",2015-05-14 17:56
15-Apr,2호선,238,합정,"976,159","976,159","980,681","980,681",2015-05-14 17:56
15-Apr,2호선,250,용두,"46,391","46,391","49,134","49,134",2015-05-14 17:56
15-Apr,2호선,240,신촌,"1,435,917","1,435,917","1,472,741","1,472,741",2015-05-14 17:56
15-Apr,2호선,210,뚝섬,"429,744","429,744","454,196","454,196",2015-05-14 17:56
