사용월,호선명,역ID,지하철역,유임승차,유임하차,무임승차,무임하차,작업일시
2019-06,1호선,156,신설동,"355,417","350,781","115,267","111,039",2015-07-08 9:18
2019-06,1호선,154,종로5가,"465,263","487,087","237,956","230,448",2015-07-08 9:18
2019-06,1호선,158,청량리(지하),"510,979","526,815","290,181","294,640",2015-07-08 9:18
2019-06,1호선,152,종각,"1,057,792","1,041,329","133,103","128,013",2015-07-08 9:18
2019-06,1호선,155,동대문,"298,461","334,109","122,914","128,608",2015-07-08 9:18
2019-06,1호선,151,시청,"558,388","569,150","79,601","78,446",2015-07-08 9:18
2019-06,1호선,159,동묘앞,"143,755","157,967","115,043","115,782",2015-07-08 9:18
2019-06,1호선,150,서울역,"1,305,795","1,195,679","182,183","169,453",2015-07-08 9:18
2019-06,1호선,157,제기동,"257,425","253,997","257,278","271,573",2015-07-08 9:18
2019-06,1호선,153,종로3가,"631,309","587,196","298,826","274,566",2015-07-08 9:18
2019-06,2호선,214,강변,"1,194,283","1,188,130","118,802","118,305",2015-07-08 9:18
2019-06,2호선,250,용두,"40,133","42,588","19,599","21,502",2015-07-08 9:18
2019-06,2호선,205,동대문역사문화공원,"404,325","468,768","48,593","53,796",2015-07-08 9:18
2019-06,2호선,239,홍대입구,"1,777,825","1,906,801","108,537","105,258",2015-07-08 9:18
2019-06,2호선,236,영등포구청,"514,091","519,494","95,581","93,312",2015-07-08 9:18
2019-06,2호선,226,사당,"1,056,990","1,185,795","156,790","147,325",2015-07-08 9:18
2019-06,2호선,231,신대방,"644,350","607,006","111,243","115,722",2015-07-08 9:18
2019-06,2호선,204,을지로4가,"258,533","263,145","91,777","90,895",2015-07-08 9:18
2019-06,2호선,245,신답,"29,399","33,361","9,389","10,314",2015-07-08 9:18
2019-06,2호선,248,양천구청,"160,397","168,672","39,354","40,227",2015-07-08 9:18
2019-06,2호선,209,한양대,"334,929","391,176","14,124","15,103",2015-07-08 9:18
2019-06,2호선,215,잠실나루,"398,304","375,371","62,946","63,005",2015-07-08 9:18
2019-06,2호선,225,방배,"526,567","536,729","69,931","68,768",2015-07-08 9:18
2019-06,2호선,208,왕십리(성동구청),"513,922","422,621","50,640","43,384",2015-07-08 9:18
2019-06,2호선,244,용답,"56,035","56,933","14,637","14,583",2015-07-08 9:18
2019-06,2호선,249,신정네거리,"243,687","239,706","55,804","56,456",2015-07-08 9:18
2019-06,2호선,229,봉천,"535,537","479,355","132,469","133,385",2015-07-08 9:18
2019-06,2호선,234,신도림,"1,576,715","1,584,317","172,783","168,578",2015-07-08 9:18
2019-06,2호선,201,시청,"626,643","630,508","54,580","50,450",2015-07-08 9:18
2019-06,2호선,227,낙성대,"767,261","729,159","100,674","101,229",2015-07-08 9:18
2019-06,2호선,212,건대입구,"1,131,555","1,241,913","83,679","87,521",2015-07-08 9:18
2019-06,2호선,219,삼성,"1,401,372","1,473,924","115,158","110,023",2015-07-08 9:18
2019-06,2호선,224,서초,"565,769","586,111","68,890","69,918",2015-07-08 9:18
2019-06,2호선,202,을지로입구,"1,209,982","1,242,564","105,749","98,674",2015-07-08 9:18
2019-06,2호선,203,을지로3가,"454,666","451,155","81,397","77,841",2015-07-08 9:18
2019-06,2호선,220,선릉,"1,404,763","1,213,995","185,288","161,294",2015-07-08 9:18
2019-06,2호선,230,신림,"1,846,928","1,779,497","215,730","219,923",2015-07-08 9:18
2019-06,2호선,247,도림천,"22,297","25,175","5,606","6,385",2015-07-08 9:18
2019-06,2호선,241,이대,"519,790","548,127","73,564","75,539",2015-07-08 9:18
2019-06,2호선,242,아현,"226,264","214,565","56,035","55,185",2015-07-08 9:18
2019-06,2호선,213,구의,"574,051","557,533","96,587","97,717",2015-07-08 9:18
2019-06,2호선,221,역삼,"1,149,283","1,302,142","144,026","147,371",2015-07-08 9:18
2019-06,2호선,222,강남,"2,566,181","2,614,786","143,401","127,850",2015-07-08 9:18
2019-06,2호선,223,교대,"920,558","1,023,348","141,969","154,617",2015-07-08 9:18
2019-06,2호선,207,상왕십리,"247,416","231,787","50,950","51,749",2015-07-08 9:18
2019-06,2호선,211,성수,"612,230","682,312","87,057","89,083",2015-07-08 9:18
2019-06,2호선,232,구로디지털단지,"1,660,161","1,669,390","140,622","142,963",2015-07-08 9:18
2019-06,2호선,243,충정로,"271,838","299,644","49,083","49,286",2015-07-08 9:18
2019-06,2호선,246,신설동,"77,342","75,243","29,204","30,160",2015-07-08 9:18
2019-06,2호선,218,종합운동장,"402,446","462,622","47,629","50,826",2015-07-08 9:18
2019-06,2호선,228,서울대입구,"1,303,870","1,278,696","192,991","187,266",2015-07-08 9:18
2019-06,2호선,240,신촌,"1,196,078","1,238,733","123,604","121,756",2015-07-08 9:18
2019-06,2호선,206,신당,"317,677","335,996","94,240","95,096",2015-07-08 9:18
2019-06,2호선,217,신천,"623,824","608,569","95,760","93,253",2015-07-08 9:18
2019-06,2호선,210,뚝섬,"376,155","399,204","60,164","60,003",2015-07-08 9:18
2019-06,2호선,216,잠실,"1,952,347","1,782,341","162,447","150,821",2015-07-08 9:18
2019-06,2호선,233,대림,"739,048","760,963","100,017","104,436",2015-07-08 9:18
2019-06,2호선,235,문래,"467,868","475,079","71,545","70,729",2015-07-08 9:18
2019-06,2호선,238,합정,"875,371","896,174","68,016","65,694",2015-07-08 9:18
2019-06,2호선,237,당산,"592,471","655,200","62,795","67,262",2015-07-08 9:18
2019-06,3호선,338,일원,"158,705","150,626","31,520","30,870",2015-07-08 9:18
2019-06,3호선,336,학여울,"47,654","49,831","12,341","11,815",2015-07-08 9:18
2019-06,3호선,328,잠원,"127,018","123,210","27,080","26,601",2015-07-08 9:18
2019-06,3호선,312,불광,"403,841","434,637","125,886","137,791",2015-07-08 9:18
2019-06,3호선,323,약수,"332,753","316,009","78,130","76,276",2015-07-08 9:18
2019-06,3호선,342,오금,"166,870","145,956","20,646","19,551",2015-07-08 9:18
2019-06,3호선,309,지축,"27,442","27,736","12,522","14,215",2015-07-08 9:18
2019-06,3호선,315,무악재,"88,064","83,722","30,814","32,966",2015-07-08 9:18
2019-06,3호선,318,안국,"575,069","635,723","89,950","96,310",2015-07-08 9:18
2019-06,3호선,325,옥수,"236,233","243,635","50,042","50,545",2015-07-08 9:18
2019-06,3호선,314,홍제,"447,712","406,483","135,058","134,543",2015-07-08 9:18
2019-06,3호선,334,도곡,"166,628","154,757","22,338","18,225",2015-07-08 9:18
2019-06,3호선,339,수서,"263,674","274,136","66,529","66,161",2015-07-08 9:18
2019-06,3호선,335,대치,"258,680","241,955","45,866","43,696",2015-07-08 9:18
2019-06,3호선,317,경복궁,"549,686","578,700","75,598","72,648",2015-07-08 9:18
2019-06,3호선,327,신사,"775,158","861,814","68,218","66,333",2015-07-08 9:18
2019-06,3호선,340,가락시장,"184,869","168,039","53,429","51,288",2015-07-08 9:18
2019-06,3호선,324,금호,"176,207","158,368","46,226","45,284",2015-07-08 9:18
2019-06,3호선,329,고속터미널,"1,168,310","1,209,314","135,903","131,923",2015-07-08 9:18
2019-06,3호선,326,압구정,"841,983","942,953","122,146","119,966",2015-07-08 9:18
2019-06,3호선,310,구파발,"414,345","330,631","75,442","68,882",2015-07-08 9:18
2019-06,3호선,337,대청,"248,851","223,117","42,150","41,062",2015-07-08 9:18
