사용월,호선명,역ID,지하철역,유임승차,유임하차,무임승차,무임하차,작업일시
15-Aug,1호선,150,서울역,"1,579,775","1,378,184","218,120","201,208",2015-09-08 9:23
15-Aug,1호선,151,시청,"605,929","608,009","92,678","90,699",2015-09-08 9:23
15-Aug,1호선,152,종각,"1,157,791","1,110,675","147,436","140,506",2015-09-08 9:23
15-Aug,1호선,153,종로3가,"735,171","699,930","351,118","322,315",2015-09-08 9:23
15-Aug,1호선,154,종로5가,"495,065","509,842","255,091","244,956",2015-09-08 9:23
15-Aug,1호선,155,동대문,"321,487","386,055","131,257","139,768",2015-09-08 9:23
15-Aug,1호선,156,신설동,"343,060","333,316","120,067","116,340",2015-09-08 9:23
15-Aug,1호선,157,제기동,"253,773","250,835","289,544","304,974",2015-09-08 9:23
15-Aug,1호선,158,청량리(지하),"529,522","557,446","338,233","342,795",2015-09-08 9:23
15-Aug,1호선,159,동묘앞,"146,080","160,120","127,196","127,028",2015-09-08 9:23
15-Aug,2호선,201,시청,"648,469","632,143","58,303","53,810",2015-09-08 9:23
15-Aug,2호선,202,을지로입구,"1,272,154","1,267,305","115,088","107,101",2015-09-08 9:23
15-Aug,2호선,203,을지로3가,"445,355","432,025","83,570","80,495",2015-09-08 9:23
15-Aug,2호선,204,을지로4가,"259,467","256,858","92,409","90,491",2015-09-08 9:23
15-Aug,2호선,205,동대문역사문화공원,"465,899","542,744","54,040","59,969",2015-09-08 9:23
15-Aug,2호선,206,신당,"315,197","332,087","102,222","103,701",2015-09-08 9:23
15-Aug,2호선,207,상왕십리,"244,662","226,493","56,365","56,865",2015-09-08 9:23
15-Aug,2호선,208,왕십리(성동구청),"493,437","430,382","55,809","48,138",2015-09-08 9:23
15-Aug,2호선,209,한양대,"212,041","237,668","14,311","15,188",2015-09-08 9:23
15-Aug,2호선,210,뚝섬,"355,287","377,081","62,623","63,189",2015-09-08 9:23
15-Aug,2호선,211,성수,"567,638","628,651","92,794","95,330",2015-09-08 9:23
15-Aug,2호선,212,건대입구,"1,205,453","1,346,084","91,226","95,823",2015-09-08 9:23
15-Aug,2호선,213,구의,"563,992","546,850","104,011","105,547",2015-09-08 9:23
15-Aug,2호선,214,강변,"1,424,893","1,431,422","143,454","141,547",2015-09-08 9:23
15-Aug,2호선,215,잠실나루,"424,158","404,786","78,134","78,829",2015-09-08 9:23
15-Aug,2호선,216,잠실,"2,275,439","2,085,177","197,212","185,587",2015-09-08 9:23
15-Aug,2호선,217,신천,"654,760","648,470","105,513","102,773",2015-09-08 9:23
15-Aug,2호선,218,종합운동장,"483,208","531,533","54,186","56,894",2015-09-08 9:23
15-Aug,2호선,219,삼성,"1,551,599","1,595,246","124,093","117,219",2015-09-08 9:23
15-Aug,2호선,220,선릉,"1,356,808","1,164,502","186,310","162,244",2015-09-08 9:23
15-Aug,2호선,221,역삼,"1,118,716","1,258,410","142,633","145,980",2015-09-08 9:23
15-Aug,2호선,222,강남,"2,870,951","2,935,195","150,917","135,072",2015-09-08 9:23
15-Aug,2호선,223,교대,"908,144","999,517","144,970","157,112",2015-09-08 9:23
15-Aug,2호선,224,서초,"555,734","567,188","72,196","72,812",2015-09-08 9:23
15-Aug,2호선,225,방배,"484,256","490,322","72,273","71,166",2015-09-08 9:23
15-Aug,2호선,226,사당,"1,068,261","1,217,466","179,312","167,829",2015-09-08 9:23
15-Aug,2호선,227,낙성대,"770,277","726,358","112,213","112,631",2015-09-08 9:23
15-Aug,2호선,228,서울대입구,"1,304,507","1,288,194","211,968","205,721",2015-09-08 9:23
15-Aug,2호선,229,봉천,"525,935","475,386","143,831","144,474",2015-09-08 9:23
15-Aug,2호선,230,신림,"1,870,838","1,815,174","240,602","244,877",2015-09-08 9:23
15-Aug,2호선,231,신대방,"650,388","610,479","123,540","127,320",2015-09-08 9:23
15-Aug,2호선,232,구로디지털단지,"1,619,507","1,625,584","148,449","151,012",2015-09-08 9:23
15-Aug,2호선,233,대림,"755,362","785,398","109,430","114,335",2015-09-08 9:23
15-Aug,2호선,234,신도림,"1,630,745","1,633,661","193,196","187,750",2015-09-08 9:23
15-Aug,2호선,235,문래,"455,615","460,921","78,295","77,025",2015-09-08 9:23
15-Aug,2호선,236,영등포구청,"487,148","491,867","101,482","98,088",2015-09-08 9:23
15-Aug,2호선,237,당산,"553,367","613,742","66,679","71,573",2015-09-08 9:23
15-Aug,2호선,238,합정,"890,591","911,191","71,858","69,190",2015-09-08 9:23
15-Aug,2호선,239,홍대입구,"2,061,285","2,247,705","116,336","113,832",2015-09-08 9:23
15-Aug,2호선,240,신촌,"1,305,569","1,351,502","142,823","140,649",2015-09-08 9:23
15-Aug,2호선,241,이대,"490,391","512,292","68,475","71,747",2015-09-08 9:23
15-Aug,2호선,242,아현,"208,375","192,211","60,636","59,277",2015-09-08 9:23
15-Aug,2호선,243,충정로,"259,628","279,449","50,978","51,170",2015-09-08 9:23
15-Aug,2호선,244,용답,"54,348","53,340","15,783","15,784",2015-09-08 9:23
15-Aug,2호선,245,신답,"28,153","32,571","10,034","10,813",2015-09-08 9:23
15-Aug,2호선,246,신설동,"76,757","73,273","32,392","32,839",2015-09-08 9:23
