사용월,호선명,역ID,지하철역,유임승차,유임하차,무임승차,무임하차,작업일시
2016-11,1호선,0150,서울역,"1,764,932","1,551,558","233,613","214,816",2016-12-08 12:02:25
2016-11,1호선,0151,시청,"867,026","926,713","113,560","115,387",2016-12-08 12:02:25
2016-11,1호선,0152,종각,"1,468,143","1,358,563","160,931","148,544",2016-12-08 12:02:25
2016-11,1호선,0153,종로3가,"819,339","725,706","351,300","319,652",2016-12-08 12:02:25
2016-11,1호선,0154,종로5가,"595,344","599,718","251,402","240,915",2016-12-08 12:02:25
2016-11,1호선,0155,동대문,"354,720","418,629","134,229","141,905",2016-12-08 12:02:25
2016-11,1호선,0156,신설동,"392,750","387,167","121,016","116,151",2016-12-08 12:02:25
2016-11,1호선,0157,제기동,"305,730","299,437","304,093","322,823",2016-12-08 12:02:25
2016-11,1호선,0158,청량리(서울시립대입구),"562,207","593,649","333,910","338,937",2016-12-08 12:02:25
2016-11,1호선,0159,동묘앞,"182,480","202,754","135,046","137,288",2016-12-08 12:02:25
2016-11,2호선,0201,시청,"832,078","849,724","65,333","60,787",2016-12-08 12:02:25
2016-11,2호선,0202,을지로입구,"1,568,630","1,549,897","118,425","109,896",2016-12-08 12:02:25
2016-11,2호선,0203,을지로3가,"576,394","551,913","90,981","88,504",2016-12-08 12:02:25
2016-11,2호선,0204,을지로4가,"316,604","306,156","93,633","89,020",2016-12-08 12:02:25
2016-11,2호선,0205,동대문역사문화공원,"522,340","616,173","59,420","64,076",2016-12-08 12:02:25
2016-11,2호선,0206,신당,"364,163","388,115","106,266","107,807",2016-12-08 12:02:25
2016-11,2호선,0207,상왕십리,"278,614","260,250","57,480","58,060",2016-12-08 12:02:25
2016-11,2호선,0208,왕십리(성동구청),"596,446","476,150","59,993","50,168",2016-12-08 12:02:25
2016-11,2호선,0209,한양대,"429,394","503,175","21,318","22,699",2016-12-08 12:02:25
2016-11,2호선,0210,뚝섬,"450,736","477,662","65,094","65,712",2016-12-08 12:02:25
2016-11,2호선,0211,성수,"706,605","774,323","97,713","99,839",2016-12-08 12:02:25
2016-11,2호선,0212,건대입구,"1,314,724","1,430,891","95,426","99,349",2016-12-08 12:02:25
2016-11,2호선,0213,구의(광진구청),"652,883","633,418","107,619","108,937",2016-12-08 12:02:25
2016-11,2호선,0214,강변(동서울터미널),"1,371,690","1,373,075","143,584","142,240",2016-12-08 12:02:25
2016-11,2호선,0215,잠실나루,"478,180","453,318","88,279","88,960",2016-12-08 12:02:25
2016-11,2호선,0216,잠실(송파구청),"2,333,442","2,177,737","207,433","193,293",2016-12-08 12:02:25
2016-11,2호선,0217,신천,"708,493","700,706","116,324","113,113",2016-12-08 12:02:25
2016-11,2호선,0218,종합운동장,"344,177","397,670","54,346","58,450",2016-12-08 12:02:25
2016-11,2호선,0219,삼성(무역센터),"1,642,310","1,704,745","125,076","118,874",2016-12-08 12:02:25
2016-11,2호선,0220,선릉,"1,492,833","1,282,398","203,547","174,390",2016-12-08 12:02:25
2016-11,2호선,0221,역삼,"1,253,489","1,393,433","149,075","152,602",2016-12-08 12:02:25
2016-11,2호선,0222,강남,"2,790,176","2,829,635","166,389","148,175",2016-12-08 12:02:25
2016-11,2호선,0223,교대(법원.검찰청),"999,042","1,121,568","163,813","180,152",2016-12-08 12:02:25
2016-11,2호선,0224,서초,"642,308","640,033","87,758","87,877",2016-12-08 12:02:25
2016-11,2호선,0225,방배,"599,519","607,028","82,649","82,028",2016-12-08 12:02:25
2016-11,2호선,0226,사당,"1,119,700","1,343,139","196,056","186,588",2016-12-08 12:02:25
2016-11,2호선,0227,낙성대,"855,189","821,690","109,920","110,997",2016-12-08 12:02:25
2016-11,2호선,0228,서울대입구(관악구청),"1,441,237","1,404,513","207,214","200,386",2016-12-08 12:02:25
2016-11,2호선,0229,봉천,"581,519","526,423","145,557","146,228",2016-12-08 12:02:25
2016-11,2호선,0230,신림,"1,981,128","1,931,301","239,152","244,686",2016-12-08 12:02:25
2016-11,2호선,0231,신대방,"753,348","705,048","131,192","133,561",2016-12-08 12:02:25
2016-11,2호선,0232,구로디지털단지,"1,809,638","1,812,578","161,675","164,640",2016-12-08 12:02:25
2016-11,2호선,0233,대림(구로구청),"851,231","882,345","115,184","120,597",2016-12-08 12:02:25
2016-11,2호선,0234,신도림,"1,741,259","1,750,581","201,378","193,611",2016-12-08 12:02:25
2016-11,2호선,0235,문래,"514,051","524,175","84,776","83,960",2016-12-08 12:02:25
2016-11,2호선,0236,영등포구청,"569,328","574,233","102,679","102,628",2016-12-08 12:02:25
2016-11,2호선,0237,당산,"604,621","694,793","64,793","70,537",2016-12-08 12:02:25
2016-11,2호선,0238,합정,"956,987","1,008,286","76,828","75,445",2016-12-08 12:02:25
2016-11,2호선,0239,홍대입구,"2,189,797","2,337,538","119,133","116,092",2016-12-08 12:02:25
2016-11,2호선,0240,신촌,"1,455,118","1,475,613","140,644","138,343",2016-12-08 12:02:25
2016-11,2호선,0241,이대,"636,988","683,998","74,145","75,471",2016-12-08 12:02:25
2016-11,2호선,0242,아현,"260,669","245,943","62,219","61,490",2016-12-08 12:02:25
2016-11,2호선,0243,충정로(경기대입구),"325,435","357,307","54,097","54,910",2016-12-08 12:02:25
2016-11,2호선,0244,용답,"62,660","65,025","16,942","16,498",2016-12-08 12:02:25
2016-11,2호선,0245,신답,"31,477","36,168","10,306","11,257",2016-12-08 12:02:25
2016-11,2호선,0246,신설동,"91,662","83,026","33,467","33,045",2016-12-08 12:02:25
2016-11,2호선,0247,도림천,"27,187","32,271","6,217","6,982",2016-12-08 12:02:25
2016-11,2호선,0248,양천구청,"179,616","191,065","46,163","46,868",2016-12-08 12:02:25
2016-11,2호선,0249,신정네거리,"252,323","256,309","65,046","65,933",2016-12-08 12:02:25
2016-11,2호선,0250,용두(동대문구청),"48,112","50,420","22,591","24,451",2016-12-08 12:02:25
2016-11,3호선,0309,지축,"31,053","31,082","10,762","12,441",2016-12-08 12:02:25
2016-11,3호선,0310,구파발,"490,228","416,794","89,640","81,649",2016-12-08 12:02:25
2016-11,3호선,0311,연신내,"1,072,597","1,008,348","256,155","248,627",2016-12-08 12:02:25
2016-11,3호선,0312,불광,"476,238","522,282","147,425","161,759",2016-12-08 12:02:25
2016-11,3호선,0313,녹번,"353,580","302,772","70,615","70,153",2016-12-08 12:02:25
2016-11,3호선,0314,홍제,"501,758","471,892","150,962","150,567",2016-12-08 12:02:25
2016-11,3호선,0315,무악재,"100,861","100,187","32,962","35,762",2016-12-08 12:02:25
